timeStep,power
1,71.0
2,29.0
3,8.0
4,17.0
5,63.0
6,45.0
7,38.0
8,11.0
9,10.0
10,19.0
11,37.0
12,53.0
13,2.0
14,48.0
15,26.0
16,3.0
17,5.0
18,18.0
19,57.0
20,33.0
21,96.0
22,14.0
23,61.0
24,15.0
25,55.0
26,97.0
27,93.0
28,100.0
29,57.0
30,91.0
31,97.0
32,34.0
33,33.0
34,51.0
35,56.0
36,82.0
37,22.0
38,47.0
39,80.0
40,83.0
41,96.0
42,8.0
43,60.0
44,10.0
45,76.0
46,1.0
47,76.0
48,63.0
49,20.0
50,67.0
51,63.0
52,65.0
53,2.0
54,76.0
55,28.0
56,1.0
57,60.0
58,62.0
59,34.0
60,44.0
61,48.0
62,67.0
63,28.0
64,37.0
65,38.0
66,54.0
67,43.0
68,57.0
69,34.0
70,49.0
71,31.0
72,32.0
73,47.0
74,38.0
75,82.0
76,46.0
77,65.0
78,99.0
79,74.0
80,95.0
81,93.0
82,87.0
83,0.0
84,29.0
85,86.0
86,51.0
87,36.0
88,46.0
89,51.0
90,12.0
91,76.0
92,72.0
93,49.0
94,66.0
95,15.0
96,94.0
97,53.0
98,51.0
99,4.0
100,80.0
