Tag ab;Zeit ab;Tag bis;Zeit bis;G3A Gewerbe durchlaufend;H0A Haushalt;L0A Landwirtschaftsbetriebe;T1A Telefonh‰uschen;B0A Bezug Band Konstant 1;SBA Straﬂenbeleuchtung
;;;;MWh;MWh;MWh;MWh;MWh;MWh
01.01.2014;00:00:00;01.01.2014;00:15:00;21,948;27,785;17,072;49,150;28,539;61,180
01.01.2014;00:15:00;01.01.2014;00:30:00;22,073;26,468;16,498;49,150;28,539;61,180
01.01.2014;00:30:00;01.01.2014;00:45:00;22,248;25,231;16,073;49,150;28,539;61,180
01.01.2014;00:45:00;01.01.2014;01:00:00;22,523;24,066;15,748;49,150;28,539;61,180
01.01.2014;01:00:00;01.01.2014;01:15:00;22,823;22,931;15,523;49,150;28,539;61,180
01.01.2014;01:15:00;01.01.2014;01:30:00;23,098;21,776;15,348;49,150;28,539;61,180
01.01.2014;01:30:00;01.01.2014;01:45:00;23,223;20,793;15,198;49,150;28,539;61,180
01.01.2014;01:45:00;01.01.2014;02:00:00;23,123;20,063;15,048;49,150;28,539;61,180
01.01.2014;02:00:00;01.01.2014;02:15:00;22,748;19,556;14,873;49,150;28,539;61,180
01.01.2014;02:15:00;01.01.2014;02:30:00;22,173;19,151;14,698;49,150;28,539;61,180
01.01.2014;02:30:00;01.01.2014;02:45:00;21,598;18,777;14,498;49,150;28,539;61,180
01.01.2014;02:45:00;01.01.2014;03:00:00;21,173;18,412;14,348;49,150;28,539;61,180
01.01.2014;03:00:00;01.01.2014;03:15:00;20,998;18,017;14,248;49,150;28,539;61,180
01.01.2014;03:15:00;01.01.2014;03:30:00;20,998;17,672;14,173;49,150;28,539;61,180
01.01.2014;03:30:00;01.01.2014;03:45:00;20,998;17,388;14,148;49,150;28,539;61,180
01.01.2014;03:45:00;01.01.2014;04:00:00;20,873;17,276;14,123;49,150;28,539;61,180
01.01.2014;04:00:00;01.01.2014;04:15:00;20,523;17,216;14,098;49,150;28,539;61,180
01.01.2014;04:15:00;01.01.2014;04:30:00;20,148;17,246;14,123;49,150;28,539;61,180
01.01.2014;04:30:00;01.01.2014;04:45:00;20,023;17,227;14,198;49,150;28,539;61,180
01.01.2014;04:45:00;01.01.2014;05:00:00;20,398;17,276;14,348;49,150;28,539;61,180
01.01.2014;05:00:00;01.01.2014;05:15:00;21,473;17,267;14,623;49,150;28,539;61,180
01.01.2014;05:15:00;01.01.2014;05:30:00;22,898;17,185;15,123;49,150;28,539;61,180
01.01.2014;05:30:00;01.01.2014;05:45:00;24,248;17,155;15,923;49,150;28,539;61,180
01.01.2014;05:45:00;01.01.2014;06:00:00;25,098;16,953;17,122;49,150;28,539;61,180
01.01.2014;06:00:00;01.01.2014;06:15:00;25,173;18,462;18,822;7,928;28,539;61,180
01.01.2014;06:15:00;01.01.2014;06:30:00;24,698;20,033;21,022;7,928;28,539;66,180
01.01.2014;06:30:00;01.01.2014;06:45:00;24,048;21,878;23,697;7,928;28,539;66,180
01.01.2014;06:45:00;01.01.2014;07:00:00;23,573;22,486;26,846;7,928;28,539;66,180
01.01.2014;07:00:00;01.01.2014;07:15:00;23,598;23,356;30,471;7,928;28,539;66,180
01.01.2014;07:15:00;01.01.2014;07:30:00;23,923;24,694;34,445;7,928;28,539;66,180
01.01.2014;07:30:00;01.01.2014;07:45:00;24,398;26,143;38,744;7,928;28,539;66,180
01.01.2014;07:45:00;01.01.2014;08:00:00;24,798;27,602;43,294;7,928;28,539;0,000
01.01.2014;08:00:00;01.01.2014;08:15:00;24,923;29,092;47,918;7,928;28,539;0,000
01.01.2014;08:15:00;01.01.2014;08:30:00;24,898;30,642;52,142;7,928;28,539;0,000
01.01.2014;08:30:00;01.01.2014;08:45:00;24,798;32,314;55,342;7,928;28,539;0,000
01.01.2014;08:45:00;01.01.2014;09:00:00;24,798;34,118;56,967;7,928;28,539;0,000
01.01.2014;09:00:00;01.01.2014;09:15:00;24,948;36,023;56,592;7,928;28,539;0,000
01.01.2014;09:15:00;01.01.2014;09:30:00;25,223;38,080;54,642;7,928;28,539;0,000
01.01.2014;09:30:00;01.01.2014;09:45:00;25,523;40,097;51,642;7,928;28,539;0,000
01.01.2014;09:45:00;01.01.2014;10:00:00;25,698;42,052;48,168;7,928;28,539;0,000
01.01.2014;10:00:00;01.01.2014;10:15:00;25,723;43,887;44,718;7,928;28,539;0,000
01.01.2014;10:15:00;01.01.2014;10:30:00;25,623;45,589;41,744;7,928;28,539;0,000
01.01.2014;10:30:00;01.01.2014;10:45:00;25,448;47,159;39,519;7,928;28,539;0,000
01.01.2014;10:45:00;01.01.2014;11:00:00;25,248;48,679;38,444;7,928;28,539;0,000
01.01.2014;11:00:00;01.01.2014;11:15:00;25,098;50,179;38,644;7,928;28,539;0,000
01.01.2014;11:15:00;01.01.2014;11:30:00;24,998;51,172;39,544;7,928;28,539;0,000
01.01.2014;11:30:00;01.01.2014;11:45:00;24,948;51,365;40,369;7,928;28,539;0,000
01.01.2014;11:45:00;01.01.2014;12:00:00;24,948;50,381;40,294;7,928;28,539;0,000
01.01.2014;12:00:00;01.01.2014;12:15:00;24,998;48,943;38,794;7,928;28,539;0,000
01.01.2014;12:15:00;01.01.2014;12:30:00;25,123;47,352;36,345;7,928;28,539;0,000
01.01.2014;12:30:00;01.01.2014;12:45:00;25,248;46,156;33,595;7,928;28,539;0,000
01.01.2014;12:45:00;01.01.2014;13:00:00;25,398;44,687;31,245;7,928;28,539;0,000
01.01.2014;13:00:00;01.01.2014;13:15:00;25,548;43,431;29,846;7,928;28,539;0,000
01.01.2014;13:15:00;01.01.2014;13:30:00;25,598;42,245;29,221;7,928;28,539;0,000
01.01.2014;13:30:00;01.01.2014;13:45:00;25,523;41,647;29,021;7,928;28,539;0,000
01.01.2014;13:45:00;01.01.2014;14:00:00;25,248;41,008;28,946;7,928;28,539;0,000
