Port;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95
root.net.balanceInputs[0];0;0,001;0,002;0,003;0,006;0,011;0,019;0,034;0,06;0,103;0,177;0,297;0,494;0,808;1,305;2,078;3,264;5,055;7,722;11,632;17,281;25,319;36,584;52,132;73,263;101,539;138,787;187,082;248,706;326,068;421,597;537,595;676,053;838,446;1.025,50;1.236,99;1.471,52;1.726,36;1.997,41;2.279,13;2.564,72;2.846,29;3.115,20;3.362,50;3.579,36;3.757,65;3.890,42;3.972,32;4.000;3.972,32;3.890,42;3.757,65;3.579,36;3.362,50;3.115,20;2.846,29;2.564,72;2.279,13;1.997,41;1.726,36;1.471,52;1.236,99;1.025,50;838,446;676,053;537,595;421,597;326,068;248,706;187,082;138,787;101,539;73,263;52,132;36,584;25,319;17,281;11,632;7,722;5,055;3,264;2,078;1,305;0,808;0,494;0,297;0,177;0,103;0,06;0,034;0,019;0,011;0,006;0,003;0,002;0,001
root.net.balanceInputs[1];2.000;0;2.000;2.000;0;0;0;2.000;0;0;0;2.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;0;0;0;0;-2.000;0;0;0;0;0;0;0;0;2.000;0;0;0;0;0;0;0;2.000;0;0;0;2.000;2.000;0;0;2.000;0;0;0;0;2.000;0;0;2.000;0
root.net.balanceInputs[2];-200;0;-200;-200;0;0;0;-200;0;0;0;-200;0;0;0;0;0;0;0;0;-200;0;0;0;0;0;0;-200;-200;-200;0;0;0;-200;0;0;0;0;0;0;0;0;0;-200;0;0;-200;-200;-200;0;-200;0;0;0;0;0;0;-200;-200;0;0;0;0;0;-200;0;0;0;0;0;-200;0;0;0;0;0;0;0;-200;0;0;0;-200;-200;0;0;-200;0;0;0;0;-200;0;0;-200;0
root.net.balanceInputs[3];-200;0;-200;-200;0;0;0;-200;0;0;0;-200;0;0;0;-200;0;0;0;0;0;0;0;0;0;0;-200;0;0;0;-200;0;-200;0;0;0;0;0;0;-200;0;0;0;-200;-200;0;0;0;-200;-200;-200;0;0;0;0;0;0;-200;0;-200;0;0;-200;0;0;0;0;0;0;0;-200;0;0;0;0;0;0;0;-200;0;0;0;-200;-200;0;0;-200;0;0;0;0;-200;0;0;-200;0
root.net.balanceInputs[4];-200;0;-200;-200;0;0;0;-200;0;0;0;-200;0;0;0;0;0;0;0;0;0;0;0;-200;0;-200;0;0;-200;-200;0;0;0;-200;-200;0;0;0;0;0;0;0;0;0;0;0;-200;0;-200;-200;0;-200;0;0;-200;0;0;0;-200;0;0;0;-200;0;0;0;0;0;-200;0;-200;0;0;0;0;0;0;0;-200;0;0;0;-200;-200;0;0;-200;0;0;0;0;-200;0;0;-200;0
root.net.balanceInputs[5];-200;0;-200;-200;0;0;0;-200;0;0;0;-200;0;0;0;0;0;0;0;0;-200;0;0;0;0;0;-200;0;0;0;0;-200;-200;-200;0;-200;0;0;0;0;0;0;0;0;0;0;0;-200;0;-200;0;-200;-200;0;0;0;0;-200;0;-200;0;0;-200;0;0;0;0;0;0;0;-200;0;0;0;0;0;0;0;-200;0;0;0;-200;-200;0;0;-200;0;0;0;0;-200;0;0;-200;0
root.net.balanceInputs[6];-200;0;-200;-200;0;0;0;-200;0;0;0;-200;0;0;0;0;0;0;0;0;-200;0;0;0;0;0;0;-200;-200;0;0;0;0;-200;-200;-200;0;0;0;0;-200;0;0;0;0;-200;0;-200;0;0;-200;0;0;0;0;0;0;-200;0;-200;0;0;0;0;-200;0;0;-200;0;0;-200;0;0;0;0;0;0;0;-200;0;0;0;-200;-200;0;0;-200;0;0;0;0;-200;0;0;-200;0
root.net.balanceInputs[7];-200;0;-200;-200;0;0;0;-200;0;0;0;-200;0;0;0;0;0;0;0;0;0;-200;-200;0;0;0;0;0;0;0;0;-200;0;0;-200;-200;0;0;0;0;0;0;0;-200;0;0;-200;0;-200;0;0;-200;-200;0;0;0;0;-200;-200;0;0;0;0;-200;0;0;0;0;0;0;-200;0;0;0;0;0;0;0;-200;0;0;0;-200;-200;0;0;-200;0;0;0;0;-200;0;0;-200;0
root.net.balanceInputs[8];-200;0;-200;-200;0;0;0;-200;0;0;0;-200;0;0;0;0;-200;0;0;-200;0;0;0;0;0;0;0;0;0;-200;0;0;-200;0;0;-200;0;0;0;0;0;0;0;-200;-200;0;-200;0;-200;0;-200;0;0;0;-200;0;0;0;-200;0;0;0;-200;0;0;0;-200;0;0;0;-200;0;0;0;0;0;0;0;-200;0;0;0;-200;-200;0;0;-200;0;0;0;0;-200;0;0;-200;0
root.net.balanceInputs[9];-200;0;-200;-200;0;0;0;-200;0;0;0;-200;0;0;0;0;-200;0;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;0;0;-200;0;0;0;0;-200;0;0;0;-200;0;0;0;-200;0;-200;0;-200;-200;0;0;0;0;-200;-200;0;0;0;-200;0;0;0;0;0;0;-200;-200;0;0;0;0;0;0;0;-200;0;0;0;-200;-200;0;0;-200;0;0;0;0;-200;0;0;-200;0
root.net.balanceInputs[10];-200;0;-200;-200;0;0;0;-200;0;0;0;-200;0;0;0;0;0;0;0;0;0;-200;0;0;0;-200;0;0;0;0;-200;0;0;0;-200;-200;0;0;0;0;-200;-200;0;0;0;-200;0;-200;0;0;-200;0;0;0;0;0;0;-200;0;-200;0;0;0;-200;0;0;0;0;0;0;-200;-200;0;0;0;0;0;0;-200;0;0;0;-200;-200;0;0;-200;0;0;0;0;-200;0;0;-200;0
root.net.balanceInputs[11];-200;0;-200;-200;0;0;0;-200;0;0;0;-200;0;0;0;0;0;0;0;0;0;0;0;-200;0;0;0;-200;0;0;0;-200;0;0;0;-200;0;0;0;-200;-200;0;0;0;0;0;-200;-200;0;-200;0;-200;0;0;0;0;0;-200;-200;0;0;0;0;0;-200;0;0;0;0;0;-200;0;0;0;0;0;0;0;-200;0;0;0;-200;-200;0;0;-200;0;0;0;0;-200;0;0;-200;0
root.net.validOutput;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
