Zeit, VerbrauchGesamt, Haus, Gewerbe, Landwirtschaft, Strassenbeleuchtung, ErzeugungGesamt,  Solar, Last 
2014-01-01T00:00, -1336, -555, -438, -341, 0, 0, 0, -1336
2014-01-01T01:00, -1225, -458, -456, -310, 0, 0, 0, -1225
2014-01-01T02:00, -1143, -391, -454, -297, 0, 0, 0, -1143
2014-01-01T03:00, -1065, -360, -419, -284, 0, 0, 0, -1065
2014-01-01T04:00, -1036, -344, -410, -281, 0, 0, 0, -1036
2014-01-01T05:00, -1067, -345, -429, -292, 0, 0, 0, -1067
2014-01-01T06:00, -1249, -369, -503, -376, 0, 0, 0, -1249
2014-01-01T07:00, -1548, -467, -471, -609, 0, 2, 0, -1546
2014-01-01T08:00, -2038, -581, -498, -958, 0, 10, 0, -2027
2014-01-01T09:00, -2351, -720, -498, -1131, 0, 23, 0, -2327
2014-01-01T10:00, -2286, -877, -514, -894, 0, 38, 0, -2247
2014-01-01T11:00, -2278, -1003, -501, -772, 0, 53, 0, -2224
2014-01-01T12:00, -2254, -978, -499, -775, 0, 66, 0, -2188
2014-01-01T13:00, -1976, -868, -510, -596, 0, 75, 0, -1901
2014-01-01T14:00, -1875, -807, -494, -573, 0, 77, 0, -1798
2014-01-01T15:00, -1758, -765, -455, -537, 0, 74, 0, -1683
2014-01-01T16:00, -1777, -777, -465, -534, 0, 66, 0, -1711
2014-01-01T17:00, -2029, -906, -469, -653, 0, 53, 0, -1976
2014-01-01T18:00, -2401, -966, -495, -938, 0, 38, 0, -2362
2014-01-01T19:00, -2649, -902, -565, -1180, 0, 23, 0, -2626
2014-01-01T20:00, -2431, -832, -570, -1028, 0, 10, 0, -2420
2014-01-01T21:00, -1917, -768, -485, -662, 0, 2, 0, -1914
2014-01-01T22:00, -1703, -700, -470, -532, 0, 0, 0, -1703
2014-01-01T23:00, -1478, -603, -438, -435, 0, 0, 0, -1478
2014-01-02T00:00, -1333, -498, -473, -361, 0, 0, 0, -1333
2014-01-02T01:00, -1200, -401, -482, -315, 0, 0, 0, -1200
2014-01-02T02:00, -1143, -356, -489, -297, 0, 0, 0, -1143
2014-01-02T03:00, -1066, -334, -441, -289, 0, 0, 0, -1066
2014-01-02T04:00, -1041, -330, -430, -281, 0, 0, 0, -1041
2014-01-02T05:00, -1110, -374, -442, -293, 0, 0, 0, -1110
2014-01-02T06:00, -1430, -544, -523, -362, 0, 0, 0, -1430
2014-01-02T07:00, -1902, -830, -503, -567, 0, 2, 0, -1899
2014-01-02T08:00, -2270, -751, -590, -928, 0, 10, 0, -2259
2014-01-02T09:00, -2439, -626, -720, -1092, 0, 23, 0, -2416
2014-01-02T10:00, -2286, -676, -734, -874, 0, 38, 0, -2248
2014-01-02T11:00, -2234, -711, -769, -753, 0, 53, 0, -2181
2014-01-02T12:00, -2267, -735, -771, -760, 0, 66, 0, -2200
2014-01-02T13:00, -2141, -797, -760, -582, 0, 75, 0, -2066
2014-01-02T14:00, -2055, -815, -695, -543, 0, 77, 0, -1977
2014-01-02T15:00, -1976, -778, -656, -541, 0, 74, 0, -1901
2014-01-02T16:00, -2035, -783, -698, -552, 0, 66, 0, -1969
2014-01-02T17:00, -2312, -933, -709, -668, 0, 53, 0, -2258
2014-01-02T18:00, -2765, -1039, -752, -972, 0, 38, 0, -2727
2014-01-02T19:00, -2995, -1046, -746, -1201, 0, 23, 0, -2971
2014-01-02T20:00, -2641, -998, -626, -1016, 0, 10, 0, -2631
2014-01-02T21:00, -2137, -915, -543, -677, 0, 2, 0, -2135
2014-01-02T22:00, -1899, -835, -532, -530, 0, 0, 0, -1899
2014-01-02T23:00, -1591, -649, -496, -445, 0, 0, 0, -1591
2014-01-03T00:00, -1334, -498, -473, -361, 0, 0, 0, -1334
2014-01-03T01:00, -1201, -402, -482, -315, 0, 0, 0, -1201
2014-01-03T02:00, -1144, -356, -489, -297, 0, 0, 0, -1144
2014-01-03T03:00, -1066, -335, -441, -289, 0, 0, 0, -1066
2014-01-03T04:00, -1042, -330, -430, -281, 0, 0, 0, -1042
2014-01-03T05:00, -1111, -374, -442, -293, 0, 0, 0, -1111
2014-01-03T06:00, -1431, -545, -523, -362, 0, 0, 0, -1431
2014-01-03T07:00, -1903, -831, -503, -567, 0, 4, 0, -1898
2014-01-03T08:00, -2271, -752, -590, -928, 0, 21, 0, -2250
2014-01-03T09:00, -2440, -627, -720, -1092, 0, 47, 0, -2393
2014-01-03T10:00, -2287, -677, -734, -874, 0, 77, 0, -2210
