Zeit, Verbrauch [W], Erzeugung [W], Batterie [W], Last [W], SOC[kWh], Einspeisung [kWh], Eigenverbrauch [kWh], Bezug [kWh], pot. Autarkie, Selbstversorgung[%]
2014-01-01T00:00, -555.7, 0.0, 0.0, -555.7, 0.0, 0.0, 0.0, 0.5557000000000001, 0.0, 0.0
2014-01-01T01:00, -458.62, 0.0, 0.0, -458.62, 0.0, 0.0, 0.0, 1.01432, 0.0, 0.0
2014-01-01T02:00, -391.12, 0.0, 0.0, -391.12, 0.0, 0.0, 0.0, 1.40544, 0.0, 0.0
2014-01-01T03:00, -360.34, 0.0, 0.0, -360.34, 0.0, 0.0, 0.0, 1.76578, 0.0, 0.0
2014-01-01T04:00, -344.32000000000005, 0.0, 0.0, -344.32000000000005, 0.0, 0.0, 0.0, 2.1101, 0.0, 0.0
2014-01-01T05:00, -345.34000000000003, 0.0, 0.0, -345.34000000000003, 0.0, 0.0, 0.0, 2.4554400000000003, 0.0, 0.0
2014-01-01T06:00, -369.24, 0.0, 0.0, -369.24, 0.0, 0.0, 0.0, 2.8246800000000003, 0.0, 0.0
2014-01-01T07:00, -467.12000000000006, 2.4097041376598485, 0.0, -464.7102958623402, 0.0, 0.0, 0.0024097041376598487, 3.2893902958623404, 0.0, 7.320323645603769E-4
2014-01-01T08:00, -581.84, 10.91896718636916, 0.0, -570.9210328136309, 0.0, 0.0, 0.01332867132402901, 3.860311328675971, 0.0, 0.003440864748409509
2014-01-01T09:00, -720.4600000000002, 23.68731691959926, 0.0, -696.7726830804008, 0.0, 0.0, 0.03701598824362827, 4.557084011756372, 0.0, 0.008057288314061137
2014-01-01T10:00, -877.74, 38.75784484839229, 0.0, -838.9821551516077, 0.0, 0.0, 0.07577383309202056, 5.396066166907979, 0.0, 0.013847962128282362
2014-01-01T11:00, -1003.58, 53.821016176724015, 0.0, -949.758983823276, 0.0, 0.0, 0.12959484926874457, 6.3458251507312555, 0.0, 0.020013350372446045
2014-01-01T12:00, -978.86, 66.56841404955689, 0.0, -912.2915859504432, 0.0, 0.0, 0.19616326331830147, 7.258116736681699, 0.0, 0.026315521192965846
2014-01-01T13:00, -868.6199999999999, 75.04631326036744, 0.0, -793.5736867396324, 0.0, 0.0, 0.2712095765786689, 8.05169042342133, 0.0, 0.032585946794827396
2014-01-01T14:00, -807.6000000000001, 77.9549261073118, 0.0, -729.6450738926883, 0.0, 0.0, 0.3491645026859807, 8.78133549731402, 0.0, 0.03824155333070267
2014-01-01T15:00, -765.46, 74.84748735035582, 0.0, -690.6125126496443, 0.0, 0.0, 0.4240119900363365, 9.471948009963665, 0.0, 0.04284697897286736
2014-01-01T16:00, -777.62, 66.19868345645948, 0.0, -711.4213165435406, 0.0, 0.0, 0.49021067349279596, 10.183369326507206, 0.0, 0.045927483889453766
2014-01-01T17:00, -906.5000000000001, 53.33194689593223, 0.0, -853.1680531040679, 0.0, 0.0, 0.5435426203887281, 11.036537379611275, 0.0, 0.04693772585238859
2014-01-01T18:00, -966.7, 38.21674930978401, 0.0, -928.483250690216, 0.0, 0.0, 0.5817593696985122, 11.96502063030149, 0.0, 0.04636722487351433
2014-01-01T19:00, -902.6600000000001, 23.16694388408069, 0.0, -879.4930561159194, 0.0, 0.0, 0.6049263135825929, 12.84451368641741, 0.0, 0.04497780677727792
2014-01-01T20:00, -832.14, 10.486359202029341, 0.0, -821.6536407979706, 0.0, 0.0, 0.6154126727846222, 13.66616732721538, 0.0, 0.043091357733851726
2014-01-01T21:00, -768.68, 2.115928664343824, 0.0, -766.5640713356561, 0.0, 0.0, 0.617528601448966, 14.432731398551036, 0.0, 0.04103109191794467
2014-01-01T22:00, -700.6, 0.0, 0.0, -700.6, 0.0, 0.0, 0.617528601448966, 15.133331398551036, 0.0, 0.03920602439796722
2014-01-01T23:00, -603.54, 0.0, 0.0, -603.54, 0.0, 0.0, 0.617528601448966, 15.736871398551036, 0.0, 0.0377591719322608
2014-01-02T00:00, -498.08, 0.0, 0.0, -498.08, 0.0, 0.0, 0.617528601448966, 16.234951398551036, 0.0, 0.036643188506912096
2014-01-02T01:00, -401.68, 0.0, 0.0, -401.68, 0.0, 0.0, 0.617528601448966, 16.636631398551035, 0.0, 0.03579012837767622
2014-01-02T02:00, -356.0199999999999, 0.0, 0.0, -356.0199999999999, 0.0, 0.0, 0.617528601448966, 16.992651398551036, 0.0, 0.03506656953245032
2014-01-02T03:00, -334.7, 0.0, 0.0, -334.7, 0.0, 0.0, 0.617528601448966, 17.327351398551038, 0.0, 0.03441252331857142
2014-01-02T04:00, -330.02000000000004, 0.0, 0.0, -330.02000000000004, 0.0, 0.0, 0.617528601448966, 17.65737139855104, 0.0, 0.03379107964743806
2014-01-02T05:00, -374.28, 0.0, 0.0, -374.28, 0.0, 0.0, 0.617528601448966, 18.031651398551038, 0.0, 0.03311290906350659
2014-01-02T06:00, -544.36, 0.0, 0.0, -544.36, 0.0, 0.0, 0.617528601448966, 18.57601139855104, 0.0, 0.03217377312621673
2014-01-02T07:00, -830.12, 2.4097041376598485, 0.0, -827.7102958623401, 0.0, 0.0, 0.6199383055866259, 19.403721694413377, 0.0, 0.030960289257140092
2014-01-02T08:00, -751.08, 10.91896718636916, 0.0, -740.1610328136309, 0.0, 0.0, 0.6308572727729951, 20.14388272722701, 0.0, 0.030366554420079142
2014-01-02T09:00, -626.5, 23.68731691959926, 0.0, -602.8126830804007, 0.0, 0.0, 0.6545445896925943, 20.74669541030741, 0.0, 0.03058442359847346
2014-01-02T10:00, -676.94, 38.75784484839229, 0.0, -638.1821551516077, 0.0, 0.0, 0.6933024345409866, 21.384877565459018, 0.0, 0.03140215518403177
2014-01-02T11:00, -711.54, 53.821016176724015, 0.0, -657.718983823276, 0.0, 0.0, 0.7471234507177106, 22.042596549282294, 0.0, 0.032783353666377225
2014-01-02T12:00, -735.22, 66.56841404955689, 0.0, -668.6515859504432, 0.0, 0.0, 0.8136918647672675, 22.711248135232736, 0.0, 0.034588477792813384
2014-01-02T13:00, -797.74, 75.04631326036744, 0.0, -722.6936867396325, 0.0, 0.0, 0.888738178027635, 23.43394182197237, 0.0, 0.03653948405470264
2014-01-02T14:00, -815.1600000000001, 77.9549261073118, 0.0, -737.2050738926882, 0.0, 0.0, 0.9666931041349468, 24.171146895865057, 0.0, 0.03845569484629334
2014-01-02T15:00, -778.74, 74.84748735035582, 0.0, -703.8925126496442, 0.0, 0.0, 1.0415405914853026, 24.875039408514702, 0.0, 0.04018819579918734
2014-01-02T16:00, -783.6600000000001, 66.19868345645948, 0.0, -717.4613165435406, 0.0, 0.0, 1.107739274941762, 25.592500725058244, 0.0, 0.04148798943162166
2014-01-02T17:00, -933.7, 53.33194689593223, 0.0, -880.3680531040678, 0.0, 0.0, 1.1610712218376942, 26.47286877816231, 0.0, 0.04201613023107432
2014-01-02T18:00, -1039.9599999999998, 38.21674930978401, 0.0, -1001.7432506902157, 0.0, 0.0, 1.1992879711474782, 27.474612028852526, 0.0, 0.04182507336453981
2014-01-02T19:00, -1046.9, 23.16694388408069, 0.0, -1023.7330561159195, 0.0, 0.0, 1.222454915031559, 28.498345084968445, 0.0, 0.041131292395613805
2014-01-02T20:00, -998.22, 10.486359202029341, 0.0, -987.7336407979707, 0.0, 0.0, 1.2329412742335883, 29.486078725766415, 0.0, 0.040136087486957205
2014-01-02T21:00, -915.62, 2.115928664343824, 0.0, -913.5040713356561, 0.0, 0.0, 1.235057202897932, 30.39958279710207, 0.0, 0.03904129153668043
2014-01-02T22:00, -835.6999999999999, 0.0, 0.0, -835.6999999999999, 0.0, 0.0, 1.235057202897932, 31.23528279710207, 0.0, 0.038036472759383856
2014-01-02T23:00, -649.52, 0.0, 0.0, -649.52, 0.0, 0.0, 1.235057202897932, 31.88480279710207, 0.0, 0.03729053211269408
2014-01-03T00:00, -498.8, 0.0, 0.0, -498.8, 0.0, 0.0, 1.235057202897932, 32.38360279710207, 0.0, 0.036737252552538735
2014-01-03T01:00, -402.26, 0.0, 0.0, -402.26, 0.0, 0.0, 1.235057202897932, 32.78586279710207, 0.0, 0.03630287490455673
2014-01-03T02:00, -356.52000000000004, 0.0, 0.0, -356.52000000000004, 0.0, 0.0, 1.235057202897932, 33.14238279710207, 0.0, 0.035926386691328145
2014-01-03T03:00, -335.18, 0.0, 0.0, -335.18, 0.0, 0.0, 1.235057202897932, 33.477562797102074, 0.0, 0.035579486737040644
2014-01-03T04:00, -330.49999999999994, 0.0, 0.0, -330.49999999999994, 0.0, 0.0, 1.235057202897932, 33.808062797102075, 0.0, 0.03524392813476459
2014-01-03T05:00, -374.82, 0.0, 0.0, -374.82, 0.0, 0.0, 1.235057202897932, 34.182882797102074, 0.0, 0.03487094966273961
2014-01-03T06:00, -545.1400000000001, 0.0, 0.0, -545.1400000000001, 0.0, 0.0, 1.235057202897932, 34.72802279710208, 0.0, 0.034342364527674814
2014-01-03T07:00, -831.2800000000001, 4.819408275319697, 0.0, -826.4605917246804, 0.0, 0.0, 1.2398766111732518, 35.55448338882676, 0.0, 0.03369746371925619
2014-01-03T08:00, -752.14, 21.83793437273832, 0.0, -730.3020656272616, 0.0, 0.0, 1.2617145455459902, 36.284785454454024, 0.0, 0.033604052189844316
2014-01-03T09:00, -627.38, 47.37463383919852, 0.0, -580.0053661608015, 0.0, 0.0, 1.3090891793851887, 36.86479082061483, 0.0, 0.03429279862002993
2014-01-03T10:00, -677.9, 77.51568969678458, 0.0, -600.3843103032154, 0.0, 0.0, 1.3866048690819732, 37.46517513091804, 0.0, 0.035689609821788676
2014-01-03T11:00, -712.56, 107.64203235344803, 0.0, -604.9179676465519, 0.0, 0.0, 1.4942469014354212, 38.07009309856459, 0.0, 0.03776751745221633
2014-01-03T12:00, -736.2600000000001, 133.13682809911379, 0.0, -603.1231719008863, 0.0, 0.0, 1.627383729534535, 38.673216270465474, 0.0, 0.040381129053526116
