Port;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95
root.net.balanceInputs[0];0;0,001;0,002;0,003;0,006;0,011;0,019;0,034;0,06;0,103;0,177;0,297;0,494;0,808;1,305;2,078;3,264;5,055;7,722;11,632;17,281;25,319;36,584;52,132;73,263;101,539;138,787;187,082;248,706;326,068;421,597;537,595;676,053;838,446;1.025,503;1.236,993;1.471,518;1.726,362;1.997,407;2.279,131;2.564,722;2.846,291;3.115,203;3.362,495;3.579,357;3.757,652;3.890,418;3.972,318;4.000;3.972,318;3.890,418;3.757,652;3.579,357;3.362,495;3.115,203;2.846,291;2.564,722;2.279,131;1.997,407;1.726,362;1.471,518;1.236,993;1.025,503;838,446;676,053;537,595;421,597;326,068;248,706;187,082;138,787;101,539;73,263;52,132;36,584;25,319;17,281;11,632;7,722;5,055;3,264;2,078;1,305;0,808;0,494;0,297;0,177;0,103;0,06;0,034;0,019;0,011;0,006;0,003;0,002;0,001
root.net.balanceInputs[1];0;0;0;0;0;0;0;2.000;2.000;2.000;2.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.000;-2.000;-2.000;-2.000;-2.000;0;0;0;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;-2.000;0;0;0;0;-2.000;-2.000;-2.000;-2.000;0;0;0;0;0;0;0;0;2.000;2.000;2.000;2.000;0;0;0;0;0;0;0;0;0;0;0;0;2.000;2.000;2.000;2.000;0;0;0;0;0
root.net.balanceInputs[2];0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0
root.net.balanceInputs[3];0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0
root.net.balanceInputs[4];0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0
root.net.balanceInputs[5];0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0
root.net.balanceInputs[6];0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0
root.net.balanceInputs[7];0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0
root.net.balanceInputs[8];0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0
root.net.balanceInputs[9];0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0;0;0;0;0;0;0;0;-200;-200;-200;-200;0;0;0;0;0
