Zeit,Zählerstand (Wh),Leistung (W)
18.07.2018 00:15,76760586,0
18.07.2018 00:30,76760586,0
18.07.2018 00:45,76760586,0
18.07.2018 01:00,76760586,0
18.07.2018 01:15,76760586,0
18.07.2018 01:30,76760586,0
18.07.2018 01:45,76760586,0
18.07.2018 02:00,76760586,0
18.07.2018 02:15,76760586,0
18.07.2018 02:30,76760586,0
18.07.2018 02:45,76760586,0
18.07.2018 03:00,76760586,0
18.07.2018 03:15,76760586,0
18.07.2018 03:30,76760586,0
18.07.2018 03:45,76760586,0
18.07.2018 04:00,76760586,0
18.07.2018 04:15,76760586,0
18.07.2018 04:30,76760586,0
18.07.2018 04:45,76760586,0
18.07.2018 05:00,76760586,0
18.07.2018 05:15,76760586,0
18.07.2018 05:30,76760586,0
18.07.2018 05:45,76760586,0
18.07.2018 06:00,76760587,4
18.07.2018 06:15,76760608,82
18.07.2018 06:30,76760676,271
18.07.2018 06:45,76760789,454
18.07.2018 07:00,76760958,677
18.07.2018 07:15,76761227,1072
18.07.2018 07:30,76761657,1721
18.07.2018 07:45,76762211,2216
18.07.2018 08:00,76762912,2801
18.07.2018 08:15,76763757,3382
18.07.2018 08:30,76764748,3963
18.07.2018 08:45,76765868,4479
18.07.2018 09:00,76767168,5198
18.07.2018 09:15,76768602,5736
18.07.2018 09:30,76770161,6238
18.07.2018 09:45,76771838,6707
18.07.2018 10:00,76773637,7196
18.07.2018 10:15,76775547,7638
18.07.2018 10:30,76777565,8071
18.07.2018 10:45,76779673,8432
18.07.2018 11:00,76781879,8826
18.07.2018 11:15,76784131,9007
18.07.2018 11:30,76786461,9319
18.07.2018 11:45,76788891,9719
18.07.2018 12:00,76791353,9849
18.07.2018 12:15,76793843,9958
18.07.2018 12:30,76796352,10038
18.07.2018 12:45,76798950,10391
18.07.2018 13:00,76801614,10653
18.07.2018 13:15,76804074,9843
18.07.2018 13:30,76806669,10379
18.07.2018 13:45,76809240,10284
18.07.2018 14:00,76811813,10289
18.07.2018 14:15,76814358,10181
18.07.2018 14:30,76816876,10070
18.07.2018 14:45,76818664,7152
18.07.2018 15:00,76821058,9574
18.07.2018 15:15,76823179,8484
18.07.2018 15:30,76824838,6639
18.07.2018 15:45,76827060,8887
18.07.2018 16:00,76829186,8503
18.07.2018 16:15,76831154,7872
18.07.2018 16:30,76832941,7148
18.07.2018 16:45,76834530,6354
18.07.2018 17:00,76836229,6794
18.07.2018 17:15,76837796,6271
18.07.2018 17:30,76839198,5606
18.07.2018 17:45,76840487,5157
18.07.2018 18:00,76841637,4599
18.07.2018 18:15,76842617,3919
18.07.2018 18:30,76843449,3326
18.07.2018 18:45,76844138,2755
18.07.2018 19:00,76844683,2179
18.07.2018 19:15,76845089,1625
18.07.2018 19:30,76845378,1153
18.07.2018 19:45,76845571,772
18.07.2018 20:00,76845693,488
18.07.2018 20:15,76845771,312
18.07.2018 20:30,76845828,228
18.07.2018 20:45,76845868,159
18.07.2018 21:00,76845889,84
18.07.2018 21:15,76845893,15
18.07.2018 21:30,76845893,0
18.07.2018 21:45,76845893,0
18.07.2018 22:00,76845893,0
18.07.2018 22:15,76845893,0
18.07.2018 22:30,76845893,0
18.07.2018 22:45,76845893,0
18.07.2018 23:00,76845893,0
18.07.2018 23:15,76845893,0
18.07.2018 23:30,76845893,0
18.07.2018 23:45,76845893,0
19.07.2018 00:00,76845893,0
