#Comment: 
#Building_#2 with both demands (elec. and heat) with 15min interval resolution
#
#Zeitzone: GMT+01:00
#
#Datum;Zeit;Electricity[kW];Heat[kW]
2019-03-15;00:00:00;0,196667;2,800000
2019-03-15;00:15:00;0,281333;2,000000
2019-03-15;00:30:00;0,292000;0,800000
2019-03-15;00:45:00;0,315333;3,600000
2019-03-15;01:00:00;0,255333;3,200000
2019-03-15;01:15:00;0,192667;2,000000
2019-03-15;01:30:00;0,188667;0,800000
2019-03-15;01:45:00;0,210667;3,600000
2019-03-15;02:00:00;0,207333;2,800000
2019-03-15;02:15:00;0,304667;3,200000
2019-03-15;02:30:00;0,289334;0,800000
2019-03-15;02:45:00;0,316667;3,200000
2019-03-15;03:00:00;0,238000;3,200000
2019-03-15;03:15:00;0,268667;3,200000
2019-03-15;03:30:00;0,212000;0,800000
2019-03-15;03:45:00;0,222000;3,600000
2019-03-15;04:00:00;0,209333;3,600000
2019-03-15;04:15:00;0,306667;3,200000
2019-03-15;04:30:00;0,292667;0,800000
2019-03-15;04:45:00;0,316000;2,800000
2019-03-15;05:00:00;0,228000;3,200000
2019-03-15;05:15:00;0,202000;2,800000
2019-03-15;05:30:00;0,940667;0,800000
2019-03-15;05:45:00;0,372000;4,000000
2019-03-15;06:00:00;0,384000;5,200000
2019-03-15;06:15:00;0,858667;3,600000
2019-03-15;06:30:00;0,706000;0,800000
2019-03-15;06:45:00;0,334667;3,600000
2019-03-15;07:00:00;0,298000;3,600000
2019-03-15;07:15:00;0,311333;5,600000
2019-03-15;07:30:00;0,360667;0,800000
2019-03-15;07:45:00;0,290667;2,000000
2019-03-15;08:00:00;0,429333;2,000000
2019-03-15;08:15:00;0,943333;1,600000
2019-03-15;08:30:00;0,330000;0,800000
2019-03-15;08:45:00;0,314667;2,400000
2019-03-15;09:00:00;0,304000;2,800000
2019-03-15;09:15:00;0,286000;1,600000
2019-03-15;09:30:00;0,266000;0,800000
2019-03-15;09:45:00;0,815333;2,000000
2019-03-15;10:00:00;0,423333;2,400000
2019-03-15;10:15:00;1,344000;2,000000
2019-03-15;10:30:00;1,466667;0,800000
2019-03-15;10:45:00;0,340667;2,400000
2019-03-15;11:00:00;0,435333;5,200001
2019-03-15;11:15:00;0,334000;0,400000
2019-03-15;11:30:00;0,288667;2,000000
2019-03-15;11:45:00;1,470000;3,200000
2019-03-15;12:00:00;2,036000;0,000000
2019-03-15;12:15:00;0,942000;2,800000
2019-03-15;12:30:00;0,328667;2,400000
2019-03-15;12:45:00;0,304667;1,600000
2019-03-15;13:00:00;0,344667;3,600000
2019-03-15;13:15:00;0,392667;3,200000
2019-03-15;13:30:00;0,346667;1,600000
2019-03-15;13:45:00;0,346667;0,400000
2019-03-15;14:00:00;0,460000;1,600000
2019-03-15;14:15:00;0,540000;1,200000
2019-03-15;14:30:00;0,520667;0,800000
2019-03-15;14:45:00;0,413333;2,000000
2019-03-15;15:00:00;0,422000;2,000000
2019-03-15;15:15:00;0,239333;1,200000
2019-03-15;15:30:00;0,269334;1,200000
2019-03-15;15:45:00;0,332667;2,000000
2019-03-15;16:00:00;0,598667;1,600000
2019-03-15;16:15:00;0,360667;1,600000
2019-03-15;16:30:00;0,498000;0,800000
2019-03-15;16:45:00;0,369333;2,000000
2019-03-15;17:00:00;0,282667;2,000000
2019-03-15;17:15:00;0,414000;1,600000
2019-03-15;17:30:00;0,440667;1,200000
2019-03-15;17:45:00;0,421333;2,000000
2019-03-15;18:00:00;0,391333;2,000000
2019-03-15;18:15:00;0,389333;1,200000
2019-03-15;18:30:00;0,386667;1,200000
2019-03-15;18:45:00;0,464667;2,000000
2019-03-15;19:00:00;2,723333;2,000000
2019-03-15;19:15:00;1,499333;6,400000
2019-03-15;19:30:00;0,952000;1,600000
2019-03-15;19:45:00;1,171333;2,400000
2019-03-15;20:00:00;1,160667;2,000000
2019-03-15;20:15:00;1,182000;1,200000
2019-03-15;20:30:00;1,174000;1,200000
2019-03-15;20:45:00;1,100000;2,400000
2019-03-15;21:00:00;1,104667;2,000000
2019-03-15;21:15:00;1,233333;0,800000
2019-03-15;21:30:00;1,184000;2,800000
2019-03-15;21:45:00;1,187333;2,400000
2019-03-15;22:00:00;1,269333;1,600000
2019-03-15;22:15:00;1,252667;0,800000
2019-03-15;22:30:00;1,200667;2,800000
2019-03-15;22:45:00;1,045333;2,400000
2019-03-15;23:00:00;1,023333;2,000000
2019-03-15;23:15:00;1,144000;0,800000
2019-03-15;23:30:00;0,829333;3,200000
2019-03-15;23:45:00;0,929333;2,400000
