#Comment:
#
#Zeitzone: GMT+01:00
#
#Datum;Zeit;EmissionFactor
2020-01-01;00:00:00;0,21067
2020-01-01;01:00:00;0,18484
2020-01-01;02:00:00;0,18080
2020-01-01;03:00:00;0,17920
2020-01-01;04:00:00;0,17182
2020-01-01;05:00:00;0,16722
2020-01-01;06:00:00;0,16223
2020-01-01;07:00:00;0,15938
2020-01-01;08:00:00;0,15662
2020-01-01;09:00:00;0,16153
2020-01-01;10:00:00;0,15918
2020-01-01;11:00:00;0,15325
2020-01-01;12:00:00;0,15308
2020-01-01;13:00:00;0,15226
2020-01-01;14:00:00;0,15211
2020-01-01;15:00:00;0,15284
2020-01-01;16:00:00;0,14890
2020-01-01;17:00:00;0,14760
2020-01-01;18:00:00;0,14700
2020-01-01;19:00:00;0,14907
2020-01-01;20:00:00;0,15074
2020-01-01;21:00:00;0,15369
2020-01-01;22:00:00;0,15499
2020-01-01;23:00:00;0,15353
2020-01-02;00:00:00;0,16312
2020-01-02;01:00:00;0,16411
2020-01-02;02:00:00;0,16783
2020-01-02;03:00:00;0,17006
2020-01-02;04:00:00;0,17032
2020-01-02;05:00:00;0,17120
2020-01-02;06:00:00;0,17755
2020-01-02;07:00:00;0,19207
2020-01-02;08:00:00;0,21231
2020-01-02;09:00:00;0,23157
2020-01-02;10:00:00;0,23239
2020-01-02;11:00:00;0,22892
2020-01-02;12:00:00;0,22879
2020-01-02;13:00:00;0,22919
2020-01-02;14:00:00;0,25167
2020-01-02;15:00:00;0,28641
2020-01-02;16:00:00;0,31743
2020-01-02;17:00:00;0,32749
2020-01-02;18:00:00;0,33953
2020-01-02;19:00:00;0,35105
2020-01-02;20:00:00;0,36882
2020-01-02;21:00:00;0,37776
2020-01-02;22:00:00;0,38100
2020-01-02;23:00:00;0,37863
2020-01-03;00:00:00;0,38019
2020-01-03;01:00:00;0,38681
2020-01-03;02:00:00;0,39217
2020-01-03;03:00:00;0,38760
2020-01-03;04:00:00;0,38167
2020-01-03;05:00:00;0,38667
2020-01-03;06:00:00;0,40003
2020-01-03;07:00:00;0,40623
2020-01-03;08:00:00;0,40526
2020-01-03;09:00:00;0,41631
2020-01-03;10:00:00;0,42061
2020-01-03;11:00:00;0,42027
2020-01-03;12:00:00;0,43075
2020-01-03;13:00:00;0,44747
2020-01-03;14:00:00;0,46014
2020-01-03;15:00:00;0,47134
2020-01-03;16:00:00;0,46413
2020-01-03;17:00:00;0,45035
2020-01-03;18:00:00;0,44232
2020-01-03;19:00:00;0,45130
2020-01-03;20:00:00;0,46255
2020-01-03;21:00:00;0,47140
2020-01-03;22:00:00;0,47634
2020-01-03;23:00:00;0,47336
2020-01-04;00:00:00;0,47067
2020-01-04;01:00:00;0,45884
2020-01-04;02:00:00;0,44374
2020-01-04;03:00:00;0,42900
2020-01-04;04:00:00;0,41264
2020-01-04;05:00:00;0,40096
2020-01-04;06:00:00;0,39351
2020-01-04;07:00:00;0,38045
2020-01-04;08:00:00;0,37494
2020-01-04;09:00:00;0,37023
2020-01-04;10:00:00;0,36494
2020-01-04;11:00:00;0,35806
2020-01-04;12:00:00;0,35101
2020-01-04;13:00:00;0,34283
2020-01-04;14:00:00;0,34814
2020-01-04;15:00:00;0,35360
2020-01-04;16:00:00;0,35168
2020-01-04;17:00:00;0,35443
2020-01-04;18:00:00;0,35355
2020-01-04;19:00:00;0,34386
2020-01-04;20:00:00;0,33720
2020-01-04;21:00:00;0,32165
2020-01-04;22:00:00;0,31139
2020-01-04;23:00:00;0,27754
2020-01-05;00:00:00;0,25450
2020-01-05;01:00:00;0,23989
2020-01-05;02:00:00;0,23383
2020-01-05;03:00:00;0,22436
2020-01-05;04:00:00;0,21992
2020-01-05;05:00:00;0,22633
2020-01-05;06:00:00;0,23350
2020-01-05;07:00:00;0,26081
2020-01-05;08:00:00;0,28431
2020-01-05;09:00:00;0,30801
2020-01-05;10:00:00;0,32658
2020-01-05;11:00:00;0,33396
2020-01-05;12:00:00;0,34440
2020-01-05;13:00:00;0,35353
2020-01-05;14:00:00;0,36033
2020-01-05;15:00:00;0,36825
2020-01-05;16:00:00;0,37125
2020-01-05;17:00:00;0,37432
2020-01-05;18:00:00;0,37442
2020-01-05;19:00:00;0,37588
2020-01-05;20:00:00;0,37399
2020-01-05;21:00:00;0,37046
2020-01-05;22:00:00;0,37533
2020-01-05;23:00:00;0,37165
2020-01-06;00:00:00;0,36793
2020-01-06;01:00:00;0,37845
2020-01-06;02:00:00;0,39193
2020-01-06;03:00:00;0,39310
2020-01-06;04:00:00;0,39563
2020-01-06;05:00:00;0,40364
2020-01-06;06:00:00;0,41542
2020-01-06;07:00:00;0,43810
2020-01-06;08:00:00;0,44625
2020-01-06;09:00:00;0,45789
2020-01-06;10:00:00;0,45835
2020-01-06;11:00:00;0,46191
2020-01-06;12:00:00;0,46191
2020-01-06;13:00:00;0,46429
2020-01-06;14:00:00;0,46327
2020-01-06;15:00:00;0,47275
2020-01-06;16:00:00;0,47301
2020-01-06;17:00:00;0,45774
2020-01-06;18:00:00;0,44882
2020-01-06;19:00:00;0,44762
2020-01-06;20:00:00;0,45636
2020-01-06;21:00:00;0,46423
2020-01-06;22:00:00;0,46375
2020-01-06;23:00:00;0,45915
2020-01-07;00:00:00;0,45699
2020-01-07;01:00:00;0,45318
2020-01-07;02:00:00;0,44760
2020-01-07;03:00:00;0,44244
2020-01-07;04:00:00;0,44734
2020-01-07;05:00:00;0,45437
2020-01-07;06:00:00;0,46068
2020-01-07;07:00:00;0,45723
2020-01-07;08:00:00;0,45708
2020-01-07;09:00:00;0,45977
2020-01-07;10:00:00;0,45362
2020-01-07;11:00:00;0,44310
2020-01-07;12:00:00;0,43475
2020-01-07;13:00:00;0,42746
2020-01-07;14:00:00;0,41418
2020-01-07;15:00:00;0,41477
2020-01-07;16:00:00;0,40766
2020-01-07;17:00:00;0,38984
2020-01-07;18:00:00;0,36834
2020-01-07;19:00:00;0,32540
2020-01-07;20:00:00;0,27557
2020-01-07;21:00:00;0,24839
2020-01-07;22:00:00;0,21988
2020-01-07;23:00:00;0,20164
2020-01-08;00:00:00;0,19086
2020-01-08;01:00:00;0,18528
2020-01-08;02:00:00;0,18466
2020-01-08;03:00:00;0,18408
2020-01-08;04:00:00;0,18699
2020-01-08;05:00:00;0,19893
2020-01-08;06:00:00;0,21194
2020-01-08;07:00:00;0,23087
2020-01-08;08:00:00;0,24241
2020-01-08;09:00:00;0,23506
2020-01-08;10:00:00;0,22613
2020-01-08;11:00:00;0,22045
2020-01-08;12:00:00;0,21646
2020-01-08;13:00:00;0,21424
2020-01-08;14:00:00;0,21626
2020-01-08;15:00:00;0,22231
2020-01-08;16:00:00;0,22244
2020-01-08;17:00:00;0,22475
2020-01-08;18:00:00;0,22761
2020-01-08;19:00:00;0,22021
2020-01-08;20:00:00;0,21796
2020-01-08;21:00:00;0,20941
2020-01-08;22:00:00;0,20494
2020-01-08;23:00:00;0,19031
2020-01-09;00:00:00;0,18744
2020-01-09;01:00:00;0,18927
2020-01-09;02:00:00;0,19024
2020-01-09;03:00:00;0,19358
2020-01-09;04:00:00;0,20344
2020-01-09;05:00:00;0,23002
2020-01-09;06:00:00;0,26176
2020-01-09;07:00:00;0,28726
2020-01-09;08:00:00;0,29861
2020-01-09;09:00:00;0,30027
2020-01-09;10:00:00;0,29716
2020-01-09;11:00:00;0,29559
2020-01-09;12:00:00;0,29397
2020-01-09;13:00:00;0,29685
2020-01-09;14:00:00;0,29977
2020-01-09;15:00:00;0,30856
2020-01-09;16:00:00;0,31355
2020-01-09;17:00:00;0,31773
2020-01-09;18:00:00;0,31732
2020-01-09;19:00:00;0,31967
2020-01-09;20:00:00;0,33313
2020-01-09;21:00:00;0,34603
2020-01-09;22:00:00;0,35449
2020-01-09;23:00:00;0,36553
2020-01-10;00:00:00;0,38393
2020-01-10;01:00:00;0,39544
2020-01-10;02:00:00;0,40862
2020-01-10;03:00:00;0,42279
2020-01-10;04:00:00;0,43521
2020-01-10;05:00:00;0,46006
2020-01-10;06:00:00;0,46739
2020-01-10;07:00:00;0,46143
2020-01-10;08:00:00;0,46090
2020-01-10;09:00:00;0,46766
2020-01-10;10:00:00;0,46925
2020-01-10;11:00:00;0,47316
2020-01-10;12:00:00;0,48592
2020-01-10;13:00:00;0,49175
2020-01-10;14:00:00;0,49728
2020-01-10;15:00:00;0,50337
2020-01-10;16:00:00;0,49614
2020-01-10;17:00:00;0,49029
2020-01-10;18:00:00;0,49659
2020-01-10;19:00:00;0,49666
2020-01-10;20:00:00;0,49793
2020-01-10;21:00:00;0,50449
2020-01-10;22:00:00;0,50170
2020-01-10;23:00:00;0,49447
2020-01-11;00:00:00;0,48794
2020-01-11;01:00:00;0,47871
2020-01-11;02:00:00;0,46495
2020-01-11;03:00:00;0,44669
2020-01-11;04:00:00;0,43587
2020-01-11;05:00:00;0,43161
2020-01-11;06:00:00;0,41683
2020-01-11;07:00:00;0,40784
2020-01-11;08:00:00;0,40567
2020-01-11;09:00:00;0,40336
2020-01-11;10:00:00;0,40539
2020-01-11;11:00:00;0,40154
2020-01-11;12:00:00;0,39265
2020-01-11;13:00:00;0,38194
2020-01-11;14:00:00;0,37283
2020-01-11;15:00:00;0,36376
2020-01-11;16:00:00;0,35886
2020-01-11;17:00:00;0,35423
2020-01-11;18:00:00;0,35030
2020-01-11;19:00:00;0,34937
2020-01-11;20:00:00;0,34293
2020-01-11;21:00:00;0,33690
2020-01-11;22:00:00;0,33728
2020-01-11;23:00:00;0,32732
2020-01-12;00:00:00;0,33037
2020-01-12;01:00:00;0,33110
2020-01-12;02:00:00;0,33436
2020-01-12;03:00:00;0,33482
2020-01-12;04:00:00;0,32919
2020-01-12;05:00:00;0,31554
2020-01-12;06:00:00;0,30259
2020-01-12;07:00:00;0,29759
2020-01-12;08:00:00;0,30033
2020-01-12;09:00:00;0,30207
2020-01-12;10:00:00;0,29222
2020-01-12;11:00:00;0,27869
2020-01-12;12:00:00;0,26893
2020-01-12;13:00:00;0,25333
2020-01-12;14:00:00;0,24333
2020-01-12;15:00:00;0,24089
2020-01-12;16:00:00;0,24139
2020-01-12;17:00:00;0,24524
2020-01-12;18:00:00;0,24353
2020-01-12;19:00:00;0,24133
2020-01-12;20:00:00;0,22873
2020-01-12;21:00:00;0,21483
2020-01-12;22:00:00;0,21175
2020-01-12;23:00:00;0,19549
2020-01-13;00:00:00;0,17265
2020-01-13;01:00:00;0,16857
2020-01-13;02:00:00;0,17318
2020-01-13;03:00:00;0,18229
2020-01-13;04:00:00;0,18299
2020-01-13;05:00:00;0,18206
2020-01-13;06:00:00;0,17998
2020-01-13;07:00:00;0,17364
2020-01-13;08:00:00;0,17118
2020-01-13;09:00:00;0,16603
2020-01-13;10:00:00;0,16254
2020-01-13;11:00:00;0,16472
2020-01-13;12:00:00;0,15877
2020-01-13;13:00:00;0,14826
2020-01-13;14:00:00;0,14913
2020-01-13;15:00:00;0,14911
2020-01-13;16:00:00;0,14958
2020-01-13;17:00:00;0,14843
2020-01-13;18:00:00;0,14665
2020-01-13;19:00:00;0,14344
2020-01-13;20:00:00;0,13837
2020-01-13;21:00:00;0,14122
2020-01-13;22:00:00;0,14588
2020-01-13;23:00:00;0,14436
2020-01-14;00:00:00;0,14682
2020-01-14;01:00:00;0,15102
2020-01-14;02:00:00;0,15099
2020-01-14;03:00:00;0,15947
2020-01-14;04:00:00;0,16671
2020-01-14;05:00:00;0,17974
2020-01-14;06:00:00;0,20504
2020-01-14;07:00:00;0,22739
2020-01-14;08:00:00;0,24034
2020-01-14;09:00:00;0,24679
2020-01-14;10:00:00;0,24468
2020-01-14;11:00:00;0,23594
2020-01-14;12:00:00;0,22787
2020-01-14;13:00:00;0,22844
2020-01-14;14:00:00;0,23495
2020-01-14;15:00:00;0,24806
2020-01-14;16:00:00;0,25527
2020-01-14;17:00:00;0,26115
2020-01-14;18:00:00;0,26984
2020-01-14;19:00:00;0,27620
2020-01-14;20:00:00;0,27992
2020-01-14;21:00:00;0,27804
2020-01-14;22:00:00;0,27660
2020-01-14;23:00:00;0,26695
2020-01-15;00:00:00;0,27064
2020-01-15;01:00:00;0,26237
2020-01-15;02:00:00;0,26361
2020-01-15;03:00:00;0,25918
2020-01-15;04:00:00;0,26052
2020-01-15;05:00:00;0,26384
2020-01-15;06:00:00;0,27423
2020-01-15;07:00:00;0,27673
2020-01-15;08:00:00;0,28858
2020-01-15;09:00:00;0,29105
2020-01-15;10:00:00;0,29222
2020-01-15;11:00:00;0,28830
2020-01-15;12:00:00;0,28662
2020-01-15;13:00:00;0,28351
2020-01-15;14:00:00;0,27943
2020-01-15;15:00:00;0,27889
2020-01-15;16:00:00;0,27553
2020-01-15;17:00:00;0,27047
2020-01-15;18:00:00;0,26593
2020-01-15;19:00:00;0,25962
2020-01-15;20:00:00;0,24766
2020-01-15;21:00:00;0,23968
2020-01-15;22:00:00;0,23730
2020-01-15;23:00:00;0,23378
2020-01-16;00:00:00;0,23316
2020-01-16;01:00:00;0,23098
2020-01-16;02:00:00;0,23929
2020-01-16;03:00:00;0,24654
2020-01-16;04:00:00;0,25171
2020-01-16;05:00:00;0,27691
2020-01-16;06:00:00;0,31155
2020-01-16;07:00:00;0,31653
2020-01-16;08:00:00;0,32657
2020-01-16;09:00:00;0,32468
2020-01-16;10:00:00;0,31073
2020-01-16;11:00:00;0,29803
2020-01-16;12:00:00;0,29464
2020-01-16;13:00:00;0,28924
2020-01-16;14:00:00;0,29969
2020-01-16;15:00:00;0,31585
2020-01-16;16:00:00;0,32152
2020-01-16;17:00:00;0,31941
2020-01-16;18:00:00;0,32271
2020-01-16;19:00:00;0,31673
2020-01-16;20:00:00;0,29377
2020-01-16;21:00:00;0,27509
2020-01-16;22:00:00;0,26799
2020-01-16;23:00:00;0,24354
2020-01-17;00:00:00;0,23219
2020-01-17;01:00:00;0,22711
2020-01-17;02:00:00;0,22489
2020-01-17;03:00:00;0,22898
