#Zeitzone: GMT+01:00
#
#Datum;Zeit;EmissionFactor
2020-01-01;00:00:00;0,21067
2020-01-01;01:00:00;0,18484
2020-01-01;02:00:00;0,18080
2020-01-01;03:00:00;0,17920
2020-01-01;04:00:00;0,17182
2020-01-01;05:00:00;0,16722
2020-01-01;06:00:00;0,16223
2020-01-01;07:00:00;0,15938
2020-01-01;08:00:00;0,15662
2020-01-01;09:00:00;0,16153
2020-01-01;10:00:00;0,15918
2020-01-01;11:00:00;0,15325
2020-01-01;12:00:00;0,15308
2020-01-01;13:00:00;0,15226
2020-01-01;14:00:00;0,15211
2020-01-01;15:00:00;0,15284
2020-01-01;16:00:00;0,14890
2020-01-01;17:00:00;0,14760
2020-01-01;18:00:00;0,14700
2020-01-01;19:00:00;0,14907
2020-01-01;20:00:00;0,15074
2020-01-01;21:00:00;0,15369
2020-01-01;22:00:00;0,15499
2020-01-01;23:00:00;0,15353
2020-01-02;00:00:00;0,16312
2020-01-02;01:00:00;0,16411
2020-01-02;02:00:00;0,16783
2020-01-02;03:00:00;0,17006
2020-01-02;04:00:00;0,17032
2020-01-02;05:00:00;0,17120
2020-01-02;06:00:00;0,17755
2020-01-02;07:00:00;0,19207
2020-01-02;08:00:00;0,21231
2020-01-02;09:00:00;0,23157
2020-01-02;10:00:00;0,23239
2020-01-02;11:00:00;0,22892
2020-01-02;12:00:00;0,22879
2020-01-02;13:00:00;0,22919
2020-01-02;14:00:00;0,25167
2020-01-02;15:00:00;0,28641
2020-01-02;16:00:00;0,31743
2020-01-02;17:00:00;0,32749
2020-01-02;18:00:00;0,33953
2020-01-02;19:00:00;0,35105
2020-01-02;20:00:00;0,36882
2020-01-02;21:00:00;0,37776
2020-01-02;22:00:00;0,38100
2020-01-02;23:00:00;0,37863
2020-01-03;00:00:00;0,38019
2020-01-03;01:00:00;0,38681
2020-01-03;02:00:00;0,39217
2020-01-03;03:00:00;0,38760
2020-01-03;04:00:00;0,38167
2020-01-03;05:00:00;0,38667
2020-01-03;06:00:00;0,40003
2020-01-03;07:00:00;0,40623
2020-01-03;08:00:00;0,40526
2020-01-03;09:00:00;0,41631
2020-01-03;10:00:00;0,42061
2020-01-03;11:00:00;0,42027
2020-01-03;12:00:00;0,43075
2020-01-03;13:00:00;0,44747
2020-01-03;14:00:00;0,46014
2020-01-03;15:00:00;0,47134
2020-01-03;16:00:00;0,46413
2020-01-03;17:00:00;0,45035
2020-01-03;18:00:00;0,44232
2020-01-03;19:00:00;0,45130
2020-01-03;20:00:00;0,46255
2020-01-03;21:00:00;0,47140
2020-01-03;22:00:00;0,47634
2020-01-03;23:00:00;0,47336
2020-01-04;00:00:00;0,47067
2020-01-04;01:00:00;0,45884
2020-01-04;02:00:00;0,44374
2020-01-04;03:00:00;0,42900
2020-01-04;04:00:00;0,41264
2020-01-04;05:00:00;0,40096
2020-01-04;06:00:00;0,39351
2020-01-04;07:00:00;0,38045
2020-01-04;08:00:00;0,37494
2020-01-04;09:00:00;0,37023
2020-01-04;10:00:00;0,36494
2020-01-04;11:00:00;0,35806
2020-01-04;12:00:00;0,35101
2020-01-04;13:00:00;0,34283
2020-01-04;14:00:00;0,34814
2020-01-04;15:00:00;0,35360
2020-01-04;16:00:00;0,35168
2020-01-04;17:00:00;0,35443
2020-01-04;18:00:00;0,35355
2020-01-04;19:00:00;0,34386
2020-01-04;20:00:00;0,33720
2020-01-04;21:00:00;0,32165
2020-01-04;22:00:00;0,31139
2020-01-04;23:00:00;0,27754
