#Comment: ;;;
#Building_#1 with both demands (elec. and heat) with 1h interval resolution;;;
#;;;
#Zeitzone: GMT+01:00;;;
#;;;
#Datum;Zeit;Electricity[kW];Heat[kW]
2020-01-01;00:00:00;1,155276;49,78
2020-01-01;01:00:00;1,059003;60,734
2020-01-01;02:00:00;1,444095;71,68516667
2020-01-01;03:00:00;1,636641;56,16666667
2020-01-01;04:00:00;1,829187;54,20216667
2020-01-01;05:00:00;1,732914;45,75466667
2020-01-01;06:00:00;1,732914;57,71533333
2020-01-01;07:00:00;1,92546;33,568
2020-01-01;08:00:00;1,92546;19,4155
2020-01-01;09:00:00;1,829187;17,36566667
2020-01-01;10:00:00;1,732914;16,73566667
2020-01-01;11:00:00;1,92546;17,46233333
2020-01-01;12:00:00;1,829187;18,13066667
2020-01-01;13:00:00;1,92546;18,3
2020-01-01;14:00:00;1,732914;22,086
2020-01-01;15:00:00;1,829187;20,679
2020-01-01;16:00:00;1,92546;21,27333333
2020-01-01;17:00:00;1,829187;21,52533333
2020-01-01;18:00:00;1,829187;11,7385
2020-01-01;19:00:00;1,92546;0
2020-01-01;20:00:00;2,021733;5,864166667
2020-01-01;21:00:00;1,829187;7,843666667
2020-01-01;22:00:00;1,829187;1,981
2020-01-01;23:00:00;1,444095;12,276
2020-01-02;00:00:00;1,059003;34,51533333
2020-01-02;01:00:00;1,155276;59,7355
2020-01-02;02:00:00;1,444095;46,48183333
2020-01-02;03:00:00;1,732914;53,68933333
2020-01-02;04:00:00;1,829187;46,41516667
2020-01-02;05:00:00;1,636641;52,23366667
2020-01-02;06:00:00;1,732914;46,6455
2020-01-02;07:00:00;5,102468;34,53883333
2020-01-02;08:00:00;4,332285;7,43
2020-01-02;09:00:00;4,909922;0
2020-01-02;10:00:00;10,397483;0
2020-01-02;11:00:00;8,37575;0,481
2020-01-02;12:00:00;7,41302;10,856
2020-01-02;13:00:00;12,611762;5,710833333
2020-01-02;14:00:00;4,909922;10,92766667
2020-01-02;15:00:00;3,465828;8,350333333
2020-01-02;16:00:00;14,537221;7,103
2020-01-02;17:00:00;15,018586;13,57866667
2020-01-02;18:00:00;1,829187;6,4255
2020-01-02;19:00:00;2,118006;13,49666667
2020-01-02;20:00:00;1,829187;3,6665
2020-01-02;21:00:00;1,92546;10,87666667
2020-01-02;22:00:00;1,829187;5,183333333
2020-01-02;23:00:00;1,444095;12,92833333
2020-01-03;00:00:00;1,732914;30,65983333
2020-01-03;01:00:00;1,732914;48,05866667
2020-01-03;02:00:00;1,732914;50,0205
2020-01-03;03:00:00;1,829187;45,07566667
2020-01-03;04:00:00;1,732914;48,40983333
2020-01-03;05:00:00;1,829187;44,55533333
2020-01-03;06:00:00;1,92546;45,88316667
2020-01-03;07:00:00;1,92546;23,139
2020-01-03;08:00:00;1,92546;3,840666667
2020-01-03;09:00:00;4,043466;0
2020-01-03;10:00:00;5,680106;0
2020-01-03;11:00:00;5,295014;7,8765
2020-01-03;12:00:00;4,52483;11,31083333
2020-01-03;13:00:00;5,391287;11,448
2020-01-03;14:00:00;12,708035;9,502666667
2020-01-03;15:00:00;5,391287;11,793
2020-01-03;16:00:00;7,701839;24,45066667
2020-01-03;17:00:00;9,916118;36,74966667
2020-01-03;18:00:00;2,503098;32,0215
2020-01-03;19:00:00;2,021733;29,396
2020-01-03;20:00:00;1,92546;38,50116667
2020-01-03;21:00:00;1,829187;39,42033333
2020-01-03;22:00:00;1,829187;36,50433333
2020-01-03;23:00:00;1,732914;48,63
2020-01-04;00:00:00;1,829187;67,19983333
2020-01-04;01:00:00;1,732914;74,00666667
2020-01-04;02:00:00;1,829187;58,0345
2020-01-04;03:00:00;1,732914;60,08216667
2020-01-04;04:00:00;1,829187;61,8815
2020-01-04;05:00:00;1,829187;73,88216667
2020-01-04;06:00:00;2,118006;84,06383333
2020-01-04;07:00:00;2,310552;63,77166667
2020-01-04;08:00:00;2,406825;19,4585
2020-01-04;09:00:00;2,310552;19,46566667
2020-01-04;10:00:00;2,406825;16,41133333
2020-01-04;11:00:00;2,406825;16,2255
2020-01-04;12:00:00;2,310552;16,454
2020-01-04;13:00:00;2,021733;16,27416667
2020-01-04;14:00:00;1,829187;16,88233333
2020-01-04;15:00:00;1,829187;15,997
2020-01-04;16:00:00;1,732914;21,09483333
2020-01-04;17:00:00;1,92546;30,50016667
2020-01-04;18:00:00;1,829187;41,227
2020-01-04;19:00:00;1,829187;69,38566667
2020-01-04;20:00:00;1,829187;64,77416667
2020-01-04;21:00:00;1,92546;66,129
2020-01-04;22:00:00;1,732914;69,29816667
2020-01-04;23:00:00;1,829187;69,3365
2020-01-05;00:00:00;1,829187;72,0815
2020-01-05;01:00:00;1,829187;72,587
2020-01-05;02:00:00;1,829187;75,14316667
