#Zeitzone: GMT+01:00
#
#Datum;Zeit;Erzeugung_skaliert[kW]
2018-07-18;00:00:00;0
2018-07-18;00:15:00;0
2018-07-18;00:30:00;0
2018-07-18;00:45:00;0
2018-07-18;01:00:00;0
2018-07-18;01:15:00;0
2018-07-18;01:30:00;0
2018-07-18;01:45:00;0
2018-07-18;02:00:00;0
2018-07-18;02:15:00;0
2018-07-18;02:30:00;0
2018-07-18;02:45:00;0
2018-07-18;03:00:00;0
2018-07-18;03:15:00;0
2018-07-18;03:30:00;0
2018-07-18;03:45:00;0
2018-07-18;04:00:00;0
2018-07-18;04:15:00;0
2018-07-18;04:30:00;0
2018-07-18;04:45:00;0
2018-07-18;05:00:00;0
2018-07-18;05:15:00;0
2018-07-18;05:30:00;0
2018-07-18;05:45:00;0
2018-07-18;06:00:00;0,000266667
2018-07-18;06:15:00;0,005466669
2018-07-18;06:30:00;0,018066676
2018-07-18;06:45:00;0,030266682
2018-07-18;07:00:00;0,045133356
2018-07-18;07:15:00;0,071466702
2018-07-18;07:30:00;0,114733391
2018-07-18;07:45:00;0,147733407
2018-07-18;08:00:00;0,186733427
2018-07-18;08:15:00;0,225466779
2018-07-18;08:30:00;0,264200132
2018-07-18;08:45:00;0,298600149
2018-07-18;09:00:00;0,346533507
2018-07-18;09:15:00;0,382400191
2018-07-18;09:30:00;0,415866875
2018-07-18;09:45:00;0,447133557
2018-07-18;10:00:00;0,479733573
2018-07-18;10:15:00;0,509200255
2018-07-18;10:30:00;0,538066936
2018-07-18;10:45:00;0,562133614
2018-07-18;11:00:00;0,588400294
2018-07-18;11:15:00;0,600466967
2018-07-18;11:30:00;0,621266977
2018-07-18;11:45:00;0,647933657
2018-07-18;12:00:00;0,656600328
2018-07-18;12:15:00;0,663866999
2018-07-18;12:30:00;0,669200335
2018-07-18;12:45:00;0,69273368
2018-07-18;13:00:00;0,710200355
2018-07-18;13:15:00;0,656200328
2018-07-18;13:30:00;0,691933679
2018-07-18;13:45:00;0,685600343
2018-07-18;14:00:00;0,685933676
2018-07-18;14:15:00;0,678733673
2018-07-18;14:30:00;0,671333669
2018-07-18;14:45:00;0,476800238
2018-07-18;15:00:00;0,638266986
2018-07-18;15:15:00;0,565600283
2018-07-18;15:30:00;0,442600221
2018-07-18;15:45:00;0,592466963
2018-07-18;16:00:00;0,56686695
2018-07-18;16:15:00;0,524800262
2018-07-18;16:30:00;0,476533572
2018-07-18;16:45:00;0,423600212
2018-07-18;17:00:00;0,45293356
2018-07-18;17:15:00;0,418066876
2018-07-18;17:30:00;0,37373352
2018-07-18;17:45:00;0,343800172
2018-07-18;18:00:00;0,306600153
2018-07-18;18:15:00;0,261266797
2018-07-18;18:30:00;0,221733444
2018-07-18;18:45:00;0,183666758
2018-07-18;19:00:00;0,145266739
2018-07-18;19:15:00;0,108333387
2018-07-18;19:30:00;0,076866705
2018-07-18;19:45:00;0,051466692
2018-07-18;20:00:00;0,03253335
2018-07-18;20:15:00;0,02080001
2018-07-18;20:30:00;0,015200008
2018-07-18;20:45:00;0,010600005
2018-07-18;21:00:00;0,005600003
2018-07-18;21:15:00;0,001
2018-07-18;21:30:00;0
2018-07-18;21:45:00;0
2018-07-18;22:00:00;0
2018-07-18;22:15:00;0
2018-07-18;22:30:00;0
2018-07-18;22:45:00;0
2018-07-18;23:00:00;0
2018-07-18;23:15:00;0
2018-07-18;23:30:00;0
2018-07-18;23:45:00;0
