#Comment: 
#Building_#1 with both demands (elec. and heat) with 15min interval resolution
#
#Zeitzone: GMT+01:00
#
#Datum;Zeit;Electricity[kW];Heat[kW]
2019-03-15;00:00:00;0,559333;0,516000
2019-03-15;00:15:00;0,380000;1,290000
2019-03-15;00:30:00;0,372000;0,774000
2019-03-15;00:45:00;0,380000;0,516000
2019-03-15;01:00:00;0,392000;1,032000
2019-03-15;01:15:00;0,406000;1,032000
2019-03-15;01:30:00;0,380000;0,774000
2019-03-15;01:45:00;0,399333;0,774000
2019-03-15;02:00:00;0,369333;1,289333
2019-03-15;02:15:00;0,370667;0,516000
2019-03-15;02:30:00;0,399333;1,032000
2019-03-15;02:45:00;0,374667;1,032000
2019-03-15;03:00:00;0,371333;0,774000
2019-03-15;03:15:00;0,394000;1,032000
2019-03-15;03:30:00;0,375333;1,032000
2019-03-15;03:45:00;0,375333;1,290000
2019-03-15;04:00:00;0,377333;0,258000
2019-03-15;04:15:00;0,397333;1,548000
2019-03-15;04:30:00;0,380000;1,547333
2019-03-15;04:45:00;0,375333;1,032000
2019-03-15;05:00:00;0,504667;3,608667
2019-03-15;05:15:00;1,674000;4,124000
2019-03-15;05:30:00;0,729333;0,258000
2019-03-15;05:45:00;0,727333;2,320000
2019-03-15;06:00:00;0,817333;1,804667
2019-03-15;06:15:00;0,392667;0,516000
2019-03-15;06:30:00;0,378000;1,032000
2019-03-15;06:45:00;0,213333;1,805333
2019-03-15;07:00:00;0,284000;1,290000
2019-03-15;07:15:00;0,541333;0,516000
2019-03-15;07:30:00;0,354000;1,290000
2019-03-15;07:45:00;0,323333;1,032000
2019-03-15;08:00:00;0,324000;1,032000
2019-03-15;08:15:00;0,320000;0,516000
2019-03-15;08:30:00;0,440667;1,032000
2019-03-15;08:45:00;0,574000;1,032000
2019-03-15;09:00:00;0,181333;0,516000
2019-03-15;09:15:00;0,900667;1,290000
2019-03-15;09:30:00;1,835333;1,032000
2019-03-15;09:45:00;1,738000;1,032000
2019-03-15;10:00:00;0,957333;0,774000
2019-03-15;10:15:00;0,830667;1,032000
2019-03-15;10:30:00;1,813333;2,062000
2019-03-15;10:45:00;1,404667;0,000000
2019-03-15;11:00:00;0,778000;1,290000
2019-03-15;11:15:00;0,909333;0,774000
2019-03-15;11:30:00;0,242000;0,258000
2019-03-15;11:45:00;0,295333;1,290000
2019-03-15;12:00:00;0,399333;2,062000
2019-03-15;12:15:00;0,567333;0,516000
2019-03-15;12:30:00;2,084000;2,320667
2019-03-15;12:45:00;0,536667;0,000000
2019-03-15;13:00:00;1,378667;0,000000
2019-03-15;13:15:00;0,502000;2,578000
2019-03-15;13:30:00;0,417333;1,290000
2019-03-15;13:45:00;0,408000;1,032000
2019-03-15;14:00:00;0,298000;0,774000
2019-03-15;14:15:00;0,398000;1,032000
2019-03-15;14:30:00;0,340667;0,000000
2019-03-15;14:45:00;0,447333;1,290000
2019-03-15;15:00:00;0,401333;1,032000
2019-03-15;15:15:00;0,653333;1,032000
2019-03-15;15:30:00;0,722000;0,516000
2019-03-15;15:45:00;0,337333;1,032000
2019-03-15;16:00:00;0,342000;1,032000
2019-03-15;16:15:00;0,324000;0,258000
2019-03-15;16:30:00;0,262000;1,290000
2019-03-15;16:45:00;0,217333;1,032000
2019-03-15;17:00:00;0,344000;0,516000
2019-03-15;17:15:00;0,355333;0,774000
2019-03-15;17:30:00;0,422667;1,032000
2019-03-15;17:45:00;0,431333;0,774000
2019-03-15;18:00:00;0,584667;0,516000
2019-03-15;18:15:00;0,788000;1,806000
2019-03-15;18:30:00;0,764667;1,290000
2019-03-15;18:45:00;0,379333;1,289333
2019-03-15;19:00:00;0,671333;0,774000
2019-03-15;19:15:00;0,826000;1,290000
2019-03-15;19:30:00;1,036000;1,290000
2019-03-15;19:45:00;1,132667;0,516000
2019-03-15;20:00:00;1,323333;1,032000
2019-03-15;20:15:00;1,206667;1,805333
2019-03-15;20:30:00;1,138000;1,290000
2019-03-15;20:45:00;1,150667;0,516000
2019-03-15;21:00:00;1,172667;1,032000
2019-03-15;21:15:00;1,302667;0,774000
2019-03-15;21:30:00;1,282667;0,258000
2019-03-15;21:45:00;1,223333;1,290000
2019-03-15;22:00:00;3,064667;1,032000
2019-03-15;22:15:00;1,585333;1,290000
2019-03-15;22:30:00;1,876000;0,774000
2019-03-15;22:45:00;1,315333;3,093333
2019-03-15;23:00:00;0,568000;0,000000
2019-03-15;23:15:00;0,420000;0,000000
2019-03-15;23:30:00;0,410667;0,000000
2019-03-15;23:45:00;0,678667;0,258000
