#Zeitzone: GMT+01:00;;;
#;;;
#Datum;Zeit;Erzeugung_skaliert[0..1](muss mit kWp multipliziert werden);Wenn 3.3kWp
18.07.2018;00:00:00;0;0
18.07.2018;00:15:00;0;0
18.07.2018;00:30:00;0;0
18.07.2018;00:45:00;0;0
18.07.2018;01:00:00;0;0
18.07.2018;01:15:00;0;0
18.07.2018;01:30:00;0;0
18.07.2018;01:45:00;0;0
18.07.2018;02:00:00;0;0
18.07.2018;02:15:00;0;0
18.07.2018;02:30:00;0;0
18.07.2018;02:45:00;0;0
18.07.2018;03:00:00;0;0
18.07.2018;03:15:00;0;0
18.07.2018;03:30:00;0;0
18.07.2018;03:45:00;0;0
18.07.2018;04:00:00;0;0
18.07.2018;04:15:00;0;0
18.07.2018;04:30:00;0;0
18.07.2018;04:45:00;0;0
18.07.2018;05:00:00;0;0
18.07.2018;05:15:00;0;0
18.07.2018;05:30:00;0;0
18.07.2018;05:45:00;0;0
18.07.2018;06:00:00;0.000266667;0.000880001
18.07.2018;06:15:00;0.005466669;0.018040008
18.07.2018;06:30:00;0.018066676;0.059620031
18.07.2018;06:45:00;0.030266682;0.099880051
18.07.2018;07:00:00;0.045133356;0.148940075
18.07.2018;07:15:00;0.071466702;0.235840117
18.07.2018;07:30:00;0.114733391;0.37862019
18.07.2018;07:45:00;0.147733407;0.487520243
18.07.2018;08:00:00;0.186733427;0.616220309
18.07.2018;08:15:00;0.225466779;0.744040371
18.07.2018;08:30:00;0.264200132;0.871860436
18.07.2018;08:45:00;0.298600149;0.985380492
18.07.2018;09:00:00;0.346533507;1.143560573
18.07.2018;09:15:00;0.382400191;1.26192063
18.07.2018;09:30:00;0.415866875;1.372360688
18.07.2018;09:45:00;0.447133557;1.475540738
18.07.2018;10:00:00;0.479733573;1.583120791
18.07.2018;10:15:00;0.509200255;1.680360842
18.07.2018;10:30:00;0.538066936;1.775620889
18.07.2018;10:45:00;0.562133614;1.855040926
18.07.2018;11:00:00;0.588400294;1.94172097
18.07.2018;11:15:00;0.600466967;1.981540991
18.07.2018;11:30:00;0.621266977;2.050181024
18.07.2018;11:45:00;0.647933657;2.138181068
18.07.2018;12:00:00;0.656600328;2.166781082
18.07.2018;12:15:00;0.663866999;2.190761097
18.07.2018;12:30:00;0.669200335;2.208361106
18.07.2018;12:45:00;0.69273368;2.286021144
18.07.2018;13:00:00;0.710200355;2.343661172
18.07.2018;13:15:00;0.656200328;2.165461082
18.07.2018;13:30:00;0.691933679;2.283381141
18.07.2018;13:45:00;0.685600343;2.262481132
18.07.2018;14:00:00;0.685933676;2.263581131
18.07.2018;14:15:00;0.678733673;2.239821121
18.07.2018;14:30:00;0.671333669;2.215401108
18.07.2018;14:45:00;0.476800238;1.573440785
18.07.2018;15:00:00;0.638266986;2.106281054
18.07.2018;15:15:00;0.565600283;1.866480934
18.07.2018;15:30:00;0.442600221;1.460580729
18.07.2018;15:45:00;0.592466963;1.955140978
18.07.2018;16:00:00;0.56686695;1.870660935
18.07.2018;16:15:00;0.524800262;1.731840865
18.07.2018;16:30:00;0.476533572;1.572560788
18.07.2018;16:45:00;0.423600212;1.3978807
18.07.2018;17:00:00;0.45293356;1.494680748
18.07.2018;17:15:00;0.418066876;1.379620691
18.07.2018;17:30:00;0.37373352;1.233320616
18.07.2018;17:45:00;0.343800172;1.134540568
18.07.2018;18:00:00;0.306600153;1.011780505
18.07.2018;18:15:00;0.261266797;0.86218043
18.07.2018;18:30:00;0.221733444;0.731720365
18.07.2018;18:45:00;0.183666758;0.606100301
18.07.2018;19:00:00;0.145266739;0.479380239
18.07.2018;19:15:00;0.108333387;0.357500177
18.07.2018;19:30:00;0.076866705;0.253660127
18.07.2018;19:45:00;0.051466692;0.169840084
18.07.2018;20:00:00;0.03253335;0.107360055
18.07.2018;20:15:00;0.02080001;0.068640033
18.07.2018;20:30:00;0.015200008;0.050160026
18.07.2018;20:45:00;0.010600005;0.034980017
18.07.2018;21:00:00;0.005600003;0.01848001
18.07.2018;21:15:00;0.001;0.0033
18.07.2018;21:30:00;0;0
18.07.2018;21:45:00;0;0
18.07.2018;22:00:00;0;0
18.07.2018;22:15:00;0;0
18.07.2018;22:30:00;0;0
18.07.2018;22:45:00;0;0
18.07.2018;23:00:00;0;0
18.07.2018;23:15:00;0;0
18.07.2018;23:30:00;0;0
18.07.2018;23:45:00;0;0
;;;
Mittelwert;;0.236943868;0.781914766
Tageswert;;5.686652843;18.76595438
