timeStep;demandHeat;demandElectricity;PV3;GasBoiler3;ThermalStorage3Discharge;ThermalStorage3Charge;HeatPump3;ElecBuy;ElecSell;ThermalStorage3SOC;Cost;CO2;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV3;plusGasBoiler3;plusThermalStorage3Discharge;plusThermalStorage3Charge;plusHeatPump3;plusElecBuy;plusElecSell
0.00;-16.41;-4.40;0.00;0.00;16.41;0.00;0.00;4.40;0.00;20.00;0.06;0.52;0.05;16.41;16.41;4.40;0.00;0.00;14.77;0.00;0.00;4.40;-0.00
1.00;-18.91;-4.50;0.00;0.00;16.57;0.00;0.93;5.43;0.00;15.44;0.07;0.64;0.05;18.91;18.91;4.50;0.00;0.00;14.92;0.00;2.34;5.43;-0.00
2.00;-13.98;-4.97;0.00;0.00;6.05;0.00;3.17;8.14;0.00;10.84;0.10;0.96;0.05;13.98;13.98;4.97;0.00;0.00;5.45;0.00;7.93;8.14;-0.00
3.00;-13.00;-5.38;0.00;0.00;3.84;0.00;3.66;9.05;0.00;9.16;0.11;1.07;0.05;13.00;13.00;5.38;0.00;0.00;3.45;0.00;9.16;9.05;-0.00
4.00;-18.62;-5.38;0.00;0.00;5.39;0.00;5.29;10.67;0.00;8.09;0.13;1.26;0.05;18.62;18.62;5.38;0.00;0.00;4.85;0.00;13.23;10.67;-0.00
5.00;-24.30;-5.34;0.00;0.00;6.07;0.00;7.29;12.63;0.00;6.59;0.16;1.50;0.05;24.30;24.30;5.34;0.00;0.00;5.46;0.00;18.23;12.63;-0.00
6.00;-19.75;-5.03;0.00;0.00;2.94;0.00;6.72;11.75;0.00;4.91;0.15;1.39;0.05;19.75;19.75;5.03;0.00;0.00;2.65;0.00;16.80;11.75;-0.00
7.00;-13.70;-4.88;0.00;0.00;1.89;0.00;4.72;9.60;0.00;4.09;0.12;1.14;0.05;13.70;13.70;4.88;0.00;0.00;1.70;0.00;11.81;9.60;-0.00
8.00;-16.65;-4.78;0.00;0.00;1.92;0.00;5.90;10.67;0.00;3.56;0.13;1.26;0.05;16.65;16.65;4.78;0.00;0.00;1.72;0.00;14.74;10.67;-0.00
9.00;-23.41;-4.88;0.00;0.00;2.19;0.00;8.49;13.37;0.00;3.03;0.17;1.58;0.05;23.41;23.41;4.88;0.00;0.00;1.97;0.00;21.22;13.37;-0.00
10.00;-20.06;-4.84;0.00;0.00;1.05;0.00;7.61;12.45;0.00;2.42;0.16;1.47;0.05;20.06;20.06;4.84;0.00;0.00;0.94;0.00;19.01;12.45;-0.00
11.00;-13.28;-4.51;0.00;0.00;0.92;0.00;4.95;9.45;0.00;2.13;0.12;1.12;0.05;13.28;13.28;4.51;0.00;0.00;0.83;0.00;12.37;9.45;-0.00
12.00;-14.98;-4.47;0.00;0.00;0.88;0.00;5.64;10.11;0.00;1.88;0.13;1.20;0.05;14.98;14.98;4.47;0.00;0.00;0.79;0.00;14.10;10.11;-0.00
13.00;-25.47;-4.95;0.00;0.00;1.64;0.00;9.53;14.48;0.00;1.63;0.18;1.72;0.05;25.47;25.47;4.95;0.00;0.00;1.48;0.00;23.82;14.48;-0.00
14.00;-23.38;-5.09;0.00;0.00;0.67;0.00;9.08;14.17;0.00;1.18;0.18;1.68;0.05;23.38;23.38;5.09;0.00;0.00;0.61;0.00;22.70;14.17;-0.00
15.00;-17.07;-4.65;0.00;0.00;0.44;0.00;6.65;11.30;0.00;0.99;0.14;1.34;0.05;17.07;17.07;4.65;0.00;0.00;0.40;0.00;16.63;11.30;-0.00
16.00;-16.11;-4.44;0.00;0.00;0.39;0.00;6.29;10.73;0.00;0.87;0.13;1.27;0.05;16.11;16.11;4.44;0.00;0.00;0.35;0.00;15.72;10.73;-0.00
17.00;-16.32;-4.44;0.00;0.00;0.34;0.00;6.39;10.83;0.00;0.76;0.14;1.28;0.05;16.32;16.32;4.44;0.00;0.00;0.31;0.00;15.98;10.83;-0.00
18.00;-14.72;-4.43;0.00;0.00;0.31;0.00;5.76;10.19;0.00;0.66;0.13;1.21;0.05;14.72;14.72;4.43;0.00;0.00;0.28;0.00;14.41;10.19;-0.00
19.00;-17.87;-4.43;0.00;0.00;0.34;0.00;7.01;11.44;0.00;0.58;0.14;1.36;0.05;17.87;17.87;4.43;0.00;0.00;0.31;0.00;17.53;11.44;-0.00
20.00;-22.91;-4.43;0.00;0.00;0.28;0.00;9.05;13.48;0.00;0.48;0.17;1.60;0.05;22.91;22.91;4.43;0.00;0.00;0.25;0.00;22.64;13.48;-0.00
21.00;-20.03;-4.56;0.00;0.00;0.22;0.00;7.92;12.48;0.00;0.40;0.16;1.48;0.05;20.03;20.03;4.56;0.00;0.00;0.20;0.00;19.80;12.48;-0.00
22.00;-22.15;-4.63;0.00;0.00;0.17;0.00;8.79;13.42;0.00;0.34;0.17;1.59;0.05;22.15;22.15;4.63;0.00;0.00;0.15;0.00;21.98;13.42;-0.00
23.00;-17.58;-4.49;0.00;0.00;0.13;0.00;6.98;11.47;0.00;0.30;0.14;1.36;0.05;17.58;17.58;4.49;0.00;0.00;0.12;0.00;17.45;11.47;-0.00
24.00;-11.23;-4.61;0.05;0.00;0.00;0.08;4.52;9.08;0.00;0.26;0.11;1.08;0.05;11.23;11.23;4.61;0.05;0.00;0.00;0.07;11.31;9.08;-0.00
25.00;-11.70;-5.35;0.21;0.00;0.00;0.04;4.69;9.83;0.00;0.28;0.12;1.16;0.05;11.70;11.70;5.35;0.21;0.00;0.00;0.03;11.74;9.83;-0.00
26.00;-20.82;-5.75;0.47;0.00;0.00;0.13;8.38;13.66;0.00;0.28;0.17;1.62;0.05;20.82;20.82;5.75;0.47;0.00;0.00;0.11;20.95;13.66;-0.00
27.00;-26.13;-5.72;0.75;0.00;1.13;0.00;10.00;14.97;0.00;0.31;0.19;1.77;0.05;26.13;26.13;5.72;0.75;0.00;1.01;0.00;25.00;14.97;-0.00
28.00;-23.29;-5.85;1.02;0.00;0.00;0.00;9.32;14.14;0.00;0.00;0.18;1.68;0.05;23.29;23.29;5.85;1.02;0.00;0.00;0.00;23.29;14.14;-0.00
29.00;-17.66;-5.60;1.38;0.00;0.00;0.00;7.06;11.28;0.00;0.00;0.14;1.34;0.05;17.66;17.66;5.60;1.38;0.00;0.00;0.00;17.66;11.28;-0.00
30.00;-10.31;-5.25;2.19;0.00;0.00;0.00;4.12;7.19;0.00;0.00;0.09;0.85;0.05;10.31;10.31;5.25;2.19;0.00;0.00;0.00;10.31;7.19;-0.00
