timeStep;demandHeat;demandElectricity;ThermalStorage4Discharge;ThermalStorage4Charge;CHP4;ElecBuy;ElecSell;ThermalStorage4SOC;Cost;CO2;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusThermalStorage4Discharge;plusThermalStorage4Charge;plusCHP4;plusElecBuy;plusElecSell
0.00;-9.48;-2.93;9.48;0.00;0.00;2.93;0.00;20.00;0.04;0.35;0.05;9.48;9.48;2.93;8.53;0.00;0.00;2.93;-0.00
1.00;-8.02;-2.88;8.02;0.00;0.00;2.88;0.00;17.37;0.04;0.34;0.05;8.02;8.02;2.88;7.22;0.00;0.00;2.88;-0.00
2.00;-5.46;-2.88;5.46;0.00;0.00;2.88;0.00;15.14;0.04;0.34;0.05;5.46;5.46;2.88;4.91;0.00;0.00;2.88;-0.00
3.00;-4.29;-3.51;4.29;0.00;0.00;3.51;0.00;13.62;0.04;0.42;0.05;4.29;4.29;3.51;3.86;0.00;0.00;3.51;-0.00
4.00;-9.31;-4.10;9.31;0.00;0.00;4.10;0.00;12.43;0.05;0.49;0.05;9.31;9.31;4.10;8.38;0.00;0.00;4.10;-0.00
5.00;-7.34;-3.91;7.34;0.00;0.00;3.91;0.00;9.84;0.05;0.46;0.05;7.34;7.34;3.91;6.60;0.00;0.00;3.91;-0.00
6.00;-3.26;-3.46;3.26;0.00;0.00;3.46;0.00;7.81;0.04;0.41;0.05;3.26;3.26;3.46;2.93;0.00;0.00;3.46;-0.00
7.00;-1.75;-3.10;1.75;0.00;0.00;3.10;0.00;6.90;0.04;0.37;0.05;1.75;1.75;3.10;1.58;0.00;0.00;3.10;-0.00
8.00;-3.25;-3.12;3.25;0.00;0.00;3.12;0.00;6.42;0.04;0.37;0.05;3.25;3.25;3.12;2.93;0.00;0.00;3.12;-0.00
9.00;-3.70;-3.06;3.70;0.00;0.00;3.06;0.00;5.51;0.04;0.36;0.05;3.70;3.70;3.06;3.33;0.00;0.00;3.06;-0.00
10.00;-3.24;-2.55;1.91;0.00;2.18;1.91;0.00;4.48;0.06;0.34;0.05;3.24;3.24;2.55;1.72;0.00;1.33;1.91;-0.00
11.00;-4.83;-2.25;2.31;0.00;4.14;1.05;0.00;3.95;0.08;0.33;0.05;4.83;4.83;2.25;2.08;0.00;2.52;1.05;-0.00
12.00;-6.86;-2.30;3.32;0.00;5.79;0.62;0.00;3.31;0.11;0.37;0.05;6.86;6.86;2.30;2.99;0.00;3.53;0.62;-0.00
13.00;-6.99;-2.34;2.77;0.00;6.91;0.34;0.00;2.39;0.12;0.39;0.05;6.99;6.99;2.34;2.50;0.00;4.21;0.34;-0.00
14.00;-5.01;-2.34;0.81;0.00;6.88;0.35;0.00;1.62;0.12;0.39;0.05;5.01;5.01;2.34;0.73;0.00;4.20;0.35;-0.00
15.00;-3.59;-2.44;0.22;0.00;5.53;0.84;0.00;1.40;0.11;0.38;0.05;3.59;3.59;2.44;0.20;0.00;3.37;0.84;-0.00
16.00;-5.51;-2.47;0.15;0.00;8.79;0.00;0.07;1.33;0.15;0.44;0.05;5.51;5.51;2.47;0.14;0.00;5.36;0.00;-0.07
17.00;-6.95;-2.43;0.38;0.00;10.76;0.00;0.69;1.29;0.18;0.54;0.05;6.95;6.95;2.43;0.34;0.00;6.57;0.00;-0.69
18.00;-7.10;-2.53;0.36;0.00;11.05;0.00;0.68;1.19;0.19;0.56;0.05;7.10;7.10;2.53;0.32;0.00;6.74;0.00;-0.68
19.00;-8.80;-2.61;0.50;0.00;13.59;0.00;1.33;1.09;0.22;0.69;0.05;8.80;8.80;2.61;0.45;0.00;8.29;0.00;-1.33
20.00;-12.73;-2.51;0.92;0.00;19.36;0.00;3.10;0.95;0.31;0.98;0.05;12.73;12.73;2.51;0.83;0.00;11.81;0.00;-3.10
21.00;-12.78;-2.48;0.38;0.00;20.33;0.00;3.41;0.69;0.33;1.03;0.05;12.78;12.78;2.48;0.34;0.00;12.40;0.00;-3.41
22.00;-6.53;-2.72;0.16;0.00;10.45;0.00;0.31;0.59;0.18;0.53;0.05;6.53;6.53;2.72;0.15;0.00;6.37;0.00;-0.31
23.00;-3.75;-3.03;0.00;0.00;6.14;1.25;0.00;0.54;0.12;0.46;0.05;3.75;3.75;3.03;0.00;0.00;3.75;1.25;-0.00
24.00;-10.45;-3.34;0.28;0.00;16.68;0.00;1.49;0.54;0.28;0.84;0.05;10.45;10.45;3.34;0.25;0.00;10.17;0.00;-1.49
25.00;-24.44;-3.80;0.24;0.00;39.68;0.00;7.70;0.46;0.63;2.00;0.05;24.44;24.44;3.80;0.22;0.00;24.20;0.00;-7.70
26.00;-19.56;-4.30;0.21;0.00;31.72;0.00;4.90;0.39;0.51;1.60;0.05;19.56;19.56;4.30;0.19;0.00;19.35;0.00;-4.90
27.00;-8.34;-5.23;0.00;0.00;13.68;1.26;0.00;0.34;0.25;0.84;0.05;8.34;8.34;5.23;0.00;0.00;8.34;1.26;-0.00
28.00;-28.38;-6.72;0.15;0.00;46.29;0.00;6.70;0.34;0.75;2.34;0.05;28.38;28.38;6.72;0.13;0.00;28.24;0.00;-6.70
29.00;-38.03;-6.75;0.15;0.00;62.11;0.00;11.26;0.30;0.99;3.14;0.05;38.03;38.03;6.75;0.13;0.00;37.89;0.00;-11.26
30.00;-17.71;-5.74;0.10;0.00;28.86;0.00;2.63;0.25;0.48;1.46;0.05;17.71;17.71;5.74;0.09;0.00;17.61;0.00;-2.63
