timeStep;demandHeat;demandElectricity;SolarThermic5;ThermalStorage5Discharge;ThermalStorage5Charge;CHP5;ElecBuy;ElecSell;ThermalStorage5SOC;Cost;CO2;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusSolarThermic5;plusThermalStorage5Discharge;plusThermalStorage5Charge;plusCHP5;plusElecBuy;plusElecSell
0.00;-11.21;-2.20;0.00;11.21;0.00;0.00;2.20;0.00;20.00;0.03;0.26;0.05;11.21;11.21;2.20;0.00;10.09;0.00;0.00;2.20;-0.00
1.00;-12.19;-2.22;0.00;12.19;0.00;0.00;2.22;0.00;16.89;0.03;0.26;0.05;12.19;12.19;2.22;0.00;10.97;0.00;0.00;2.22;-0.00
2.00;-8.89;-2.38;0.00;8.89;0.00;0.00;2.38;0.00;13.50;0.03;0.28;0.05;8.89;8.89;2.38;0.00;8.00;0.00;0.00;2.38;-0.00
3.00;-8.07;-2.67;0.00;6.34;0.00;2.88;1.87;0.00;11.03;0.07;0.37;0.05;8.07;8.07;2.67;0.00;5.71;0.00;1.73;1.87;-0.00
4.00;-12.35;-2.82;0.00;8.49;0.00;6.44;1.02;0.00;9.27;0.12;0.45;0.05;12.35;12.35;2.82;0.00;7.64;0.00;3.86;1.02;-0.00
5.00;-14.92;-2.76;0.00;9.50;0.00;9.03;0.23;0.00;6.91;0.16;0.48;0.05;14.92;14.92;2.76;0.00;8.55;0.00;5.42;0.23;-0.00
6.00;-11.45;-2.54;0.00;3.65;0.00;12.99;0.00;1.10;4.27;0.22;0.66;0.05;11.45;11.45;2.54;0.00;3.29;0.00;7.79;0.00;-1.10
7.00;-7.82;-2.40;0.00;1.19;0.00;11.05;0.00;0.69;3.26;0.18;0.56;0.05;7.82;7.82;2.40;0.00;1.07;0.00;6.63;0.00;-0.69
8.00;-9.78;-2.37;0.00;1.61;0.00;13.62;0.00;1.44;2.93;0.22;0.69;0.05;9.78;9.78;2.37;0.00;1.45;0.00;8.17;0.00;-1.44
9.00;-13.53;-2.39;0.00;1.77;0.00;19.59;0.00;3.09;2.48;0.32;0.99;0.05;13.53;13.53;2.39;0.00;1.60;0.00;11.75;0.00;-3.09
10.00;-11.61;-2.25;0.00;0.89;0.00;17.87;0.00;2.75;1.99;0.29;0.90;0.05;11.61;11.61;2.25;0.00;0.80;0.00;10.72;0.00;-2.75
11.00;-8.36;-2.07;0.00;0.64;0.00;12.87;0.00;1.54;1.74;0.21;0.65;0.05;8.36;8.36;2.07;0.00;0.57;0.00;7.72;0.00;-1.54
12.00;-9.78;-2.07;0.00;0.61;0.00;15.27;0.00;2.21;1.56;0.25;0.77;0.05;9.78;9.78;2.07;0.00;0.55;0.00;9.16;0.00;-2.21
13.00;-15.46;-2.23;0.00;0.65;0.00;24.68;0.00;4.68;1.39;0.39;1.25;0.05;15.46;15.46;2.23;0.00;0.59;0.00;14.81;0.00;-4.68
14.00;-13.84;-2.28;0.00;0.55;0.00;22.15;0.00;3.92;1.21;0.35;1.12;0.05;13.84;13.84;2.28;0.00;0.49;0.00;13.29;0.00;-3.92
15.00;-10.09;-2.16;0.00;0.44;0.00;16.08;0.00;2.34;1.06;0.26;0.81;0.05;10.09;10.09;2.16;0.00;0.40;0.00;9.65;0.00;-2.34
16.00;-10.05;-2.10;0.00;0.35;0.00;16.17;0.00;2.43;0.93;0.26;0.82;0.05;10.05;10.05;2.10;0.00;0.32;0.00;9.70;0.00;-2.43
17.00;-10.52;-2.09;0.00;0.29;0.00;17.06;0.00;2.69;0.84;0.28;0.86;0.05;10.52;10.52;2.09;0.00;0.26;0.00;10.24;0.00;-2.69
18.00;-9.70;-2.11;0.00;0.24;0.00;15.76;0.00;2.31;0.76;0.26;0.80;0.05;9.70;9.70;2.11;0.00;0.22;0.00;9.46;0.00;-2.31
19.00;-11.82;-2.13;0.00;0.25;0.00;19.29;0.00;3.27;0.69;0.31;0.97;0.05;11.82;11.82;2.13;0.00;0.23;0.00;11.57;0.00;-3.27
20.00;-15.52;-2.10;0.00;0.25;0.00;25.46;0.00;5.02;0.62;0.40;1.29;0.05;15.52;15.52;2.10;0.00;0.22;0.00;15.28;0.00;-5.02
21.00;-13.98;-2.14;0.00;0.24;0.00;22.90;0.00;4.27;0.55;0.37;1.16;0.05;13.98;13.98;2.14;0.00;0.21;0.00;13.74;0.00;-4.27
22.00;-13.56;-2.22;0.00;0.19;0.00;22.28;0.00;4.01;0.49;0.36;1.13;0.05;13.56;13.56;2.22;0.00;0.17;0.00;13.37;0.00;-4.01
23.00;-10.40;-2.25;0.00;0.18;0.00;17.05;0.00;2.52;0.43;0.28;0.86;0.05;10.40;10.40;2.25;0.00;0.16;0.00;10.23;0.00;-2.52
24.00;-8.66;-2.37;0.02;0.15;0.00;14.15;0.00;1.59;0.38;0.23;0.71;0.05;8.66;8.66;2.37;0.02;0.13;0.00;8.49;0.00;-1.59
25.00;-12.41;-2.73;0.11;0.14;0.00;20.28;0.00;2.94;0.34;0.33;1.02;0.05;12.41;12.41;2.73;0.11;0.12;0.00;12.17;0.00;-2.94
26.00;-16.10;-2.99;0.24;0.13;0.00;26.23;0.00;4.35;0.30;0.42;1.32;0.05;16.10;16.10;2.99;0.24;0.11;0.00;15.74;0.00;-4.35
27.00;-16.15;-3.21;0.37;0.11;0.00;26.12;0.00;4.10;0.27;0.42;1.32;0.05;16.15;16.15;3.21;0.37;0.10;0.00;15.67;0.00;-4.10
28.00;-19.64;-3.63;0.51;0.10;0.00;31.71;0.00;5.25;0.24;0.51;1.60;0.05;19.64;19.64;3.63;0.51;0.09;0.00;19.03;0.00;-5.25
29.00;-19.02;-3.56;0.69;0.09;0.00;30.39;0.00;4.96;0.21;0.49;1.53;0.05;19.02;19.02;3.56;0.69;0.08;0.00;18.24;0.00;-4.96
30.00;-9.98;-3.19;1.09;0.07;0.00;14.68;0.00;0.93;0.18;0.25;0.74;0.05;9.98;9.98;3.19;1.09;0.06;0.00;8.81;0.00;-0.93
31.00;-15.33;-2.91;1.18;0.07;0.00;23.46;0.00;3.66;0.17;0.38;1.18;0.05;15.33;15.33;2.91;1.18;0.06;0.00;14.08;0.00;-3.66
32.00;-18.71;-2.81;1.21;0.06;0.00;29.05;0.00;5.33;0.15;0.46;1.47;0.05;18.71;18.71;2.81;1.21;0.06;0.00;17.43;0.00;-5.33
33.00;-14.28;-3.08;1.01;0.05;0.00;22.04;0.00;3.10;0.13;0.36;1.11;0.05;14.28;14.28;3.08;1.01;0.05;0.00;13.22;0.00;-3.10
34.00;-15.28;-3.49;0.90;0.07;0.00;23.85;0.00;3.18;0.11;0.39;1.20;0.05;15.28;15.28;3.49;0.90;0.06;0.00;14.31;0.00;-3.18
35.00;-15.05;-3.66;0.73;0.04;0.00;23.80;0.00;3.01;0.10;0.39;1.20;0.05;15.05;15.05;3.66;0.73;0.04;0.00;14.28;0.00;-3.01
36.00;-11.13;-3.78;0.78;0.04;0.00;17.19;0.00;1.04;0.08;0.29;0.87;0.05;11.13;11.13;3.78;0.78;0.03;0.00;10.32;0.00;-1.04
37.00;-7.89;-3.67;1.00;0.00;0.00;11.48;0.46;0.00;0.07;0.20;0.63;0.05;7.89;7.89;3.67;1.00;0.00;0.00;6.89;0.46;-0.00
38.00;-12.49;-3.47;1.27;0.03;0.00;18.66;0.00;1.76;0.07;0.31;0.94;0.05;12.49;12.49;3.47;1.27;0.03;0.00;11.19;0.00;-1.76
39.00;-14.59;-3.67;1.40;0.03;0.00;21.93;0.00;2.47;0.06;0.36;1.11;0.05;14.59;14.59;3.67;1.40;0.03;0.00;13.16;0.00;-2.47
40.00;-8.66;-3.55;1.37;0.00;0.00;12.14;0.15;0.00;0.06;0.21;0.63;0.05;8.66;8.66;3.55;1.37;0.00;0.00;7.28;0.15;-0.00
41.00;-12.06;-3.64;1.44;0.02;0.00;17.65;0.00;1.30;0.06;0.29;0.89;0.05;12.06;12.06;3.64;1.44;0.02;0.00;10.59;0.00;-1.30
42.00;-15.83;-3.17;1.18;0.02;0.00;24.38;0.00;3.66;0.05;0.39;1.23;0.05;15.83;15.83;3.17;1.18;0.02;0.00;14.63;0.00;-3.66
43.00;-14.42;-2.72;1.23;0.04;0.00;21.91;0.00;3.42;0.04;0.35;1.11;0.05;14.42;14.42;2.72;1.23;0.04;0.00;13.15;0.00;-3.42
44.00;-10.75;-3.25;1.16;0.12;0.00;15.78;0.00;1.17;0.03;0.26;0.80;0.05;10.75;10.75;3.25;1.16;0.10;0.00;9.47;0.00;-1.17
45.00;-9.69;-3.93;1.50;0.00;0.00;13.66;0.11;0.00;0.00;0.24;0.70;0.11;9.69;9.69;3.93;1.50;0.00;0.00;8.20;0.11;-0.00
