timeStep;demandHeat1;demandHeat2;demandHeat3;demandHeat4;demandHeat5;demandElectricity;OilBoiler1;Connection12_12;Connection12_21;Connection13_13;Connection13_31;Connection14_14;Connection14_41;Connection15_15;Connection15_51;PV2;GasBoiler2;Battery2Discharge;Battery2Charge;Connection23_23;Connection23_32;Connection24_24;Connection24_42;Connection25_25;Connection25_52;PV3;GasBoiler3;ThermalStorage3Discharge;ThermalStorage3Charge;HeatPump3;Connection34_34;Connection34_43;Connection35_35;Connection35_53;ThermalStorage4Discharge;ThermalStorage4Charge;CHP4;Connection45_45;Connection45_54;SolarThermic5;ThermalStorage5Discharge;ThermalStorage5Charge;CHP5;ElecBuy;ElecSell;Battery2SOC;ThermalStorage3SOC;ThermalStorage4SOC;ThermalStorage5SOC;Cost;positiveDemandHeat1;positiveDemandHeat2;positiveDemandHeat3;positiveDemandHeat4;positiveDemandHeat5;demandHeat;positiveDemandElectricity;plusOilBoiler1;plusConnection12_12;plusConnection12_21;plusConnection13_13;plusConnection13_31;plusConnection14_14;plusConnection14_41;plusConnection15_15;plusConnection15_51;plusPV2;plusGasBoiler2;plusBattery2Discharge;plusBattery2Charge;plusConnection23_23;plusConnection23_32;plusConnection24_24;plusConnection24_42;plusConnection25_25;plusConnection25_52;plusPV3;plusGasBoiler3;plusThermalStorage3Discharge;plusThermalStorage3Charge;plusHeatPump3;plusConnection34_34;plusConnection34_43;plusConnection35_35;plusConnection35_53;plusThermalStorage4Discharge;plusThermalStorage4Charge;plusCHP4;plusConnection45_45;plusConnection45_54;plusSolarThermic5;plusThermalStorage5Discharge;plusThermalStorage5Charge;plusCHP5;plusElecBuy;plusElecSell
0.00;-2.80;-0.52;-16.41;-9.48;-11.21;-10.29;0.00;0.00;0.00;0.00;0.00;0.00;2.82;0.00;0.00;0.00;0.00;0.39;0.00;0.00;0.00;0.00;0.53;0.00;0.00;0.00;0.00;7.20;0.00;0.00;0.00;9.53;0.00;0.00;5.85;0.00;34.15;4.32;0.00;0.00;6.99;0.00;0.00;0.00;0.00;2.40;20.00;20.00;20.00;0.59;2.80;0.52;16.41;9.48;11.21;40.42;10.29;0.00;0.00;0.00;0.00;0.00;0.00;2.80;0.00;0.00;0.00;0.00;0.38;0.00;0.00;0.00;0.00;0.52;0.00;0.00;0.00;0.00;6.48;0.00;0.00;0.00;9.21;0.00;0.00;5.27;0.00;20.83;4.22;0.00;0.00;6.29;0.00;0.00;0.00;-0.00
1.00;-2.00;-1.29;-18.91;-8.02;-12.19;-10.26;0.00;0.00;0.00;0.00;0.00;0.00;2.02;0.00;0.00;0.00;0.00;0.37;0.00;0.00;0.00;0.00;1.32;0.00;0.00;0.00;0.00;7.46;0.00;0.00;0.00;11.85;0.00;0.00;7.57;0.00;34.10;5.16;0.00;0.00;7.14;0.00;0.00;0.00;0.00;2.30;18.00;18.37;18.06;0.58;2.00;1.29;18.91;8.02;12.19;42.41;10.26;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.36;0.00;0.00;0.00;0.00;1.29;0.00;0.00;0.00;0.00;6.72;0.00;0.00;0.00;11.45;0.00;0.00;6.81;0.00;20.80;5.05;0.00;0.00;6.43;0.00;0.00;0.00;-0.00
2.00;-0.80;-0.77;-13.98;-5.46;-8.89;-10.89;0.00;0.00;0.00;0.00;0.00;0.00;0.81;0.00;0.00;0.00;0.00;0.43;0.00;0.00;0.00;0.00;0.79;0.00;0.00;0.00;0.00;2.28;0.00;0.28;0.00;11.38;0.00;0.00;2.47;0.00;37.05;6.63;0.00;0.00;2.41;0.00;0.00;0.00;0.00;2.21;15.93;16.27;16.08;0.63;0.80;0.77;13.98;5.46;8.89;29.91;10.89;0.00;0.00;0.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.00;0.42;0.00;0.00;0.00;0.00;0.77;0.00;0.00;0.00;0.00;2.05;0.00;0.71;0.00;10.99;0.00;0.00;2.22;0.00;22.60;6.48;0.00;0.00;2.17;0.00;0.00;0.00;-0.00
3.00;-3.60;-0.52;-13.00;-4.29;-8.07;-12.26;0.00;0.00;0.00;0.00;0.00;0.00;3.63;0.00;0.00;0.00;0.00;0.58;0.00;0.00;0.00;0.00;0.53;0.00;0.00;0.00;0.00;1.38;0.00;0.26;0.00;11.35;0.00;0.00;1.48;0.00;41.18;6.80;0.00;0.00;1.42;0.00;0.00;0.00;0.00;2.10;15.29;15.59;15.41;0.71;3.60;0.52;13.00;4.29;8.07;29.48;12.26;0.00;0.00;0.00;0.00;0.00;0.00;3.60;0.00;0.00;0.00;0.00;0.57;0.00;0.00;0.00;0.00;0.52;0.00;0.00;0.00;0.00;1.24;0.00;0.66;0.00;10.96;0.00;0.00;1.33;0.00;25.12;6.65;0.00;0.00;1.28;0.00;0.00;0.00;-0.00
4.00;-3.20;-1.03;-18.62;-9.31;-12.35;-12.95;0.00;0.00;0.00;0.00;0.00;0.00;3.22;0.00;0.00;0.00;0.00;0.32;0.00;0.00;0.00;0.00;1.06;0.00;0.00;0.00;0.00;3.70;0.00;1.50;0.00;11.58;0.00;0.00;3.96;0.00;48.70;8.50;0.00;0.00;4.04;0.00;0.00;0.00;0.00;1.95;14.91;15.18;15.01;0.83;3.20;1.03;18.62;9.31;12.35;44.51;12.95;0.00;0.00;0.00;0.00;0.00;0.00;3.20;0.00;0.00;0.00;0.00;0.32;0.00;0.00;0.00;0.00;1.03;0.00;0.00;0.00;0.00;3.33;0.00;3.74;0.00;11.18;0.00;0.00;3.56;0.00;29.70;8.31;0.00;0.00;3.64;0.00;0.00;0.00;-0.00
5.00;-2.00;-1.03;-24.30;-7.34;-14.92;-12.60;0.00;0.00;0.00;0.00;0.00;0.00;2.02;0.00;0.00;0.00;0.00;0.32;0.00;0.00;0.00;0.00;1.06;0.00;0.00;0.00;0.00;3.84;0.00;2.71;0.00;14.16;0.00;0.00;3.93;0.00;51.72;10.91;0.00;0.00;4.26;0.00;0.00;0.00;0.00;1.86;13.88;14.08;13.89;0.89;2.00;1.03;24.30;7.34;14.92;49.59;12.60;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.31;0.00;0.00;0.00;0.00;1.03;0.00;0.00;0.00;0.00;3.46;0.00;6.78;0.00;13.68;0.00;0.00;3.54;0.00;31.55;10.66;0.00;0.00;3.83;0.00;0.00;0.00;-0.00
6.00;-0.80;-0.77;-19.75;-3.26;-11.45;-11.59;0.00;0.00;0.00;0.00;0.00;0.00;0.81;0.00;0.00;0.00;0.00;0.32;0.00;0.00;0.00;0.00;0.79;0.00;0.00;0.00;0.00;2.48;0.00;1.23;0.00;14.70;0.00;0.00;2.45;0.00;43.09;9.19;0.00;0.00;2.47;0.00;0.00;0.00;0.00;1.78;12.82;12.99;12.70;0.74;0.80;0.77;19.75;3.26;11.45;36.02;11.59;0.00;0.00;0.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.00;0.32;0.00;0.00;0.00;0.00;0.77;0.00;0.00;0.00;0.00;2.23;0.00;3.07;0.00;14.20;0.00;0.00;2.20;0.00;26.29;8.98;0.00;0.00;2.22;0.00;0.00;0.00;-0.00
7.00;-3.60;-0.77;-13.70;-1.75;-7.82;-10.98;0.00;0.00;0.00;0.00;0.00;0.00;3.63;0.00;0.00;0.00;0.00;0.38;0.00;0.00;0.00;0.00;0.79;0.00;0.00;0.00;0.00;1.31;0.00;0.43;0.00;11.71;0.00;0.00;1.36;0.00;38.03;6.68;0.00;0.00;1.28;0.00;0.00;0.00;0.00;1.70;12.13;12.31;12.02;0.65;3.60;0.77;13.70;1.75;7.82;27.64;10.98;0.00;0.00;0.00;0.00;0.00;0.00;3.60;0.00;0.00;0.00;0.00;0.38;0.00;0.00;0.00;0.00;0.77;0.00;0.00;0.00;0.00;1.18;0.00;1.07;0.00;11.31;0.00;0.00;1.23;0.00;23.20;6.53;0.00;0.00;1.16;0.00;0.00;0.00;-0.00
8.00;-2.80;-1.29;-16.65;-3.25;-9.78;-10.84;0.00;0.00;0.00;0.00;0.00;0.00;2.82;0.00;0.00;0.00;0.00;0.30;0.00;0.00;0.00;0.00;1.32;0.00;0.00;0.00;0.00;2.03;0.00;1.33;0.00;11.69;0.00;0.00;2.06;0.00;40.97;7.97;0.00;0.00;1.99;0.00;0.00;0.00;0.00;1.60;11.76;11.93;11.66;0.70;2.80;1.29;16.65;3.25;9.78;33.78;10.84;0.00;0.00;0.00;0.00;0.00;0.00;2.80;0.00;0.00;0.00;0.00;0.29;0.00;0.00;0.00;0.00;1.29;0.00;0.00;0.00;0.00;1.82;0.00;3.33;0.00;11.29;0.00;0.00;1.86;0.00;24.99;7.79;0.00;0.00;1.79;0.00;0.00;0.00;-0.00
9.00;-3.20;-0.52;-23.41;-3.70;-13.53;-11.01;0.00;0.00;0.00;0.00;0.00;0.00;3.22;0.00;0.00;0.00;0.00;0.29;0.00;0.00;0.00;0.00;0.53;0.00;0.00;0.00;0.00;2.22;0.00;3.46;0.00;12.98;0.00;0.00;2.17;0.00;48.88;11.55;0.00;0.00;2.23;0.00;0.00;0.00;0.00;1.53;11.20;11.35;11.11;0.84;3.20;0.52;23.41;3.70;13.53;44.35;11.01;0.00;0.00;0.00;0.00;0.00;0.00;3.20;0.00;0.00;0.00;0.00;0.29;0.00;0.00;0.00;0.00;0.52;0.00;0.00;0.00;0.00;2.00;0.00;8.65;0.00;12.54;0.00;0.00;1.95;0.00;29.82;11.29;0.00;0.00;2.01;0.00;0.00;0.00;-0.00
