timeStep;demandHeat;demandElectricity;PV2;GasBoiler2;Battery2Discharge;Battery2Charge;ElecBuy;ElecSell;Battery2SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV2;plusGasBoiler2;plusBattery2Discharge;plusBattery2Charge;plusElecBuy;plusElecSell
0.00;-0.52;-0.56;0.00;0.53;0.79;0.00;0.00;0.23;2.40;0.00;0.25;0.52;0.52;0.56;0.00;0.52;0.77;0.00;0.00;-0.23
1.00;-1.29;-0.38;0.00;1.32;0.60;0.00;0.00;0.22;2.20;0.01;0.25;1.29;1.29;0.38;0.00;1.29;0.59;0.00;0.00;-0.22
2.00;-0.77;-0.37;0.00;0.79;0.57;0.00;0.00;0.20;2.05;0.01;0.25;0.77;0.77;0.37;0.00;0.77;0.56;0.00;0.00;-0.20
3.00;-0.52;-0.38;0.00;0.53;0.55;0.00;0.00;0.17;1.90;0.00;0.25;0.52;0.52;0.38;0.00;0.52;0.54;0.00;0.00;-0.17
4.00;-1.03;-0.39;0.00;1.05;0.53;0.00;0.00;0.14;1.76;0.01;0.25;1.03;1.03;0.39;0.00;1.03;0.52;0.00;0.00;-0.14
5.00;-1.03;-0.41;0.00;1.05;0.50;0.00;0.00;0.09;1.62;0.01;0.25;1.03;1.03;0.41;0.00;1.03;0.49;0.00;0.00;-0.09
6.00;-0.77;-0.38;0.00;0.79;0.48;0.00;0.00;0.10;1.50;0.01;0.25;0.77;0.77;0.38;0.00;0.77;0.47;0.00;0.00;-0.10
7.00;-0.77;-0.40;0.00;0.79;0.46;0.00;0.00;0.06;1.38;0.01;0.25;0.77;0.77;0.40;0.00;0.77;0.45;0.00;0.00;-0.06
8.00;-1.29;-0.37;0.00;1.32;0.40;0.00;0.00;0.03;1.26;0.02;0.25;1.29;1.29;0.37;0.00;1.29;0.39;0.00;0.00;-0.03
9.00;-0.52;-0.37;0.00;0.53;0.36;0.00;0.01;0.00;1.16;0.01;0.25;0.52;0.52;0.37;0.00;0.52;0.35;0.00;0.01;-0.00
10.00;-1.03;-0.40;0.00;1.05;0.21;0.00;0.19;0.00;1.06;0.03;0.25;1.03;1.03;0.40;0.00;1.03;0.20;0.00;0.19;-0.00
11.00;-1.03;-0.37;0.00;1.05;0.14;0.00;0.24;0.00;1.01;0.03;0.25;1.03;1.03;0.37;0.00;1.03;0.14;0.00;0.24;-0.00
12.00;-0.77;-0.37;0.00;0.79;0.11;0.00;0.26;0.00;0.98;0.03;0.25;0.77;0.77;0.37;0.00;0.77;0.11;0.00;0.26;-0.00
13.00;-1.03;-0.39;0.00;1.05;0.08;0.00;0.31;0.00;0.95;0.03;0.25;1.03;1.03;0.39;0.00;1.03;0.08;0.00;0.31;-0.00
14.00;-1.03;-0.38;0.00;1.05;0.09;0.00;0.29;0.00;0.93;0.03;0.25;1.03;1.03;0.38;0.00;1.03;0.09;0.00;0.29;-0.00
15.00;-1.29;-0.38;0.00;1.32;0.08;0.00;0.29;0.00;0.90;0.04;0.25;1.29;1.29;0.38;0.00;1.29;0.08;0.00;0.29;-0.00
16.00;-0.26;-0.38;0.00;0.26;0.09;0.00;0.29;0.00;0.88;0.02;0.25;0.26;0.26;0.38;0.00;0.26;0.09;0.00;0.29;-0.00
