timeStep;demandHeat;demandElectricity;SolarThermic5;ThermalStorage5Discharge;ThermalStorage5Charge;CHP5;ElecBuy;ElecSell;ThermalStorage5SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusSolarThermic5;plusThermalStorage5Discharge;plusThermalStorage5Charge;plusCHP5;plusElecBuy;plusElecSell
0.00;-11.21;-2.20;0.00;6.49;0.00;7.86;0.00;0.00;20.00;0.13;0.25;11.21;11.21;2.20;0.00;5.84;0.00;4.72;0.00;-0.00
1.00;-12.19;-2.22;0.00;7.43;0.00;7.93;0.00;0.00;18.20;0.14;0.25;12.19;12.19;2.22;0.00;6.69;0.00;4.76;0.00;-0.00
2.00;-8.89;-2.38;0.00;3.80;0.00;8.49;0.00;0.00;16.13;0.15;0.25;8.89;8.89;2.38;0.00;3.42;0.00;5.09;0.00;-0.00
3.00;-8.07;-2.67;0.00;2.34;0.00;9.55;0.00;0.00;15.08;0.16;0.25;8.07;8.07;2.67;0.00;2.11;0.00;5.73;0.00;-0.00
4.00;-12.35;-2.82;0.00;6.31;0.00;10.07;0.00;0.00;14.43;0.17;0.25;12.35;12.35;2.82;0.00;5.68;0.00;6.04;0.00;-0.00
5.00;-14.92;-2.76;0.00;9.01;0.00;9.84;0.00;0.00;12.67;0.17;0.25;14.92;14.92;2.76;0.00;8.11;0.00;5.91;0.00;-0.00
6.00;-11.45;-2.54;0.00;6.00;0.00;9.07;0.00;0.00;10.17;0.16;0.25;11.45;11.45;2.54;0.00;5.40;0.00;5.44;0.00;-0.00
7.00;-7.82;-2.40;0.00;2.67;0.00;8.57;0.00;0.00;8.50;0.15;0.25;7.82;7.82;2.40;0.00;2.41;0.00;5.14;0.00;-0.00
8.00;-9.78;-2.37;0.00;4.70;0.00;8.47;0.00;0.00;7.76;0.15;0.25;9.78;9.78;2.37;0.00;4.23;0.00;5.08;0.00;-0.00
9.00;-13.53;-2.39;0.00;8.06;0.00;9.11;0.00;0.16;6.45;0.15;0.25;13.53;13.53;2.39;0.00;7.25;0.00;5.47;0.00;-0.16
10.00;-11.61;-2.25;0.00;3.00;0.00;14.35;0.00;1.77;4.22;0.19;0.25;11.61;11.61;2.25;0.00;2.70;0.00;8.61;0.00;-1.77
11.00;-8.36;-2.07;0.00;0.94;0.00;12.37;0.00;1.40;3.38;0.17;0.25;8.36;8.36;2.07;0.00;0.85;0.00;7.42;0.00;-1.40
