timeStep;demandHeat1;demandHeat2;demandHeat3;demandHeat4;demandHeat5;demandElectricity;OilBoiler1;Connection12_12;Connection12_21;Connection13_13;Connection13_31;Connection14_14;Connection14_41;Connection15_15;Connection15_51;PV2;GasBoiler2;Battery2Discharge;Battery2Charge;Connection23_23;Connection23_32;Connection24_24;Connection24_42;Connection25_25;Connection25_52;PV3;GasBoiler3;ThermalStorage3Discharge;ThermalStorage3Charge;HeatPump3;Connection34_34;Connection34_43;Connection35_35;Connection35_53;ThermalStorage4Discharge;ThermalStorage4Charge;CHP4;Connection45_45;Connection45_54;SolarThermic5;ThermalStorage5Discharge;ThermalStorage5Charge;CHP5;ElecBuy;ElecSell;Battery2SOC;ThermalStorage3SOC;ThermalStorage4SOC;ThermalStorage5SOC;Cost;positiveDemandHeat1;positiveDemandHeat2;positiveDemandHeat3;positiveDemandHeat4;positiveDemandHeat5;demandHeat;positiveDemandElectricity;plusOilBoiler1;plusConnection12_12;plusConnection12_21;plusConnection13_13;plusConnection13_31;plusConnection14_14;plusConnection14_41;plusConnection15_15;plusConnection15_51;plusPV2;plusGasBoiler2;plusBattery2Discharge;plusBattery2Charge;plusConnection23_23;plusConnection23_32;plusConnection24_24;plusConnection24_42;plusConnection25_25;plusConnection25_52;plusPV3;plusGasBoiler3;plusThermalStorage3Discharge;plusThermalStorage3Charge;plusHeatPump3;plusConnection34_34;plusConnection34_43;plusConnection35_35;plusConnection35_53;plusThermalStorage4Discharge;plusThermalStorage4Charge;plusCHP4;plusConnection45_45;plusConnection45_54;plusSolarThermic5;plusThermalStorage5Discharge;plusThermalStorage5Charge;plusCHP5;plusElecBuy;plusElecSell
0.00;-2.80;-0.52;-16.41;-9.48;-11.21;-10.29;0.00;0.00;0.00;0.00;0.01;0.00;2.80;0.00;0.02;0.00;0.00;1.74;0.00;0.00;0.04;0.00;0.02;0.00;0.46;0.00;0.00;16.46;0.00;0.00;0.00;0.00;0.00;0.00;12.30;0.00;0.00;0.00;0.00;0.00;11.68;0.00;0.00;8.55;0.00;2.40;20.00;20.00;20.00;0.11;2.80;0.52;16.41;9.48;11.21;40.42;10.29;0.00;0.00;0.00;0.00;0.01;0.00;2.78;0.00;0.02;0.00;0.00;1.71;0.00;0.00;0.04;0.00;0.02;0.00;0.46;0.00;0.00;14.82;0.00;0.00;0.00;0.00;0.00;0.00;11.07;0.00;0.00;0.00;0.00;0.00;10.52;0.00;0.00;8.55;-0.00
1.00;-2.00;-1.29;-18.91;-8.02;-12.19;-10.26;0.00;0.00;0.00;0.00;0.00;0.00;2.01;0.00;0.01;0.00;0.00;1.30;0.00;0.00;0.00;0.00;0.00;0.00;1.30;0.00;0.00;16.48;0.00;0.00;0.00;0.00;0.00;2.47;10.04;0.00;0.00;0.00;0.00;0.00;15.96;0.00;0.00;8.97;0.00;1.96;15.43;16.58;16.75;0.11;2.00;1.29;18.91;8.02;12.19;42.41;10.26;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.01;0.00;0.00;1.27;0.00;0.00;0.00;0.00;0.00;0.00;1.29;0.00;0.00;14.83;0.00;0.00;0.00;0.00;0.00;2.42;9.03;0.00;0.00;0.00;0.00;0.00;14.36;0.00;0.00;8.97;-0.00
2.00;-0.80;-0.77;-13.98;-5.46;-8.89;-10.89;0.00;0.00;0.00;0.00;0.00;0.00;0.81;0.00;0.00;0.00;0.00;0.88;0.00;0.00;0.00;0.00;0.78;0.00;0.01;0.00;0.00;6.41;0.00;2.14;0.00;2.27;0.00;0.02;9.31;0.00;0.00;0.00;0.00;0.00;8.93;0.00;0.00;12.16;0.00;1.62;10.85;13.80;12.32;0.15;0.80;0.77;13.98;5.46;8.89;29.91;10.89;0.00;0.00;0.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.00;0.86;0.00;0.00;0.00;0.00;0.76;0.00;0.01;0.00;0.00;5.77;0.00;5.36;0.00;2.19;0.00;0.02;8.38;0.00;0.00;0.00;0.00;0.00;8.03;0.00;0.00;12.16;-0.00
3.00;-3.60;-0.52;-13.00;-4.29;-8.07;-12.26;0.00;0.00;0.00;0.00;0.00;0.00;3.63;0.00;0.00;0.00;0.00;0.70;0.00;0.00;0.52;0.00;0.00;0.00;0.00;0.00;0.00;4.66;0.00;4.10;0.00;0.00;1.39;0.00;9.19;0.00;0.00;1.27;0.00;0.00;5.47;0.00;0.00;15.66;0.00;1.40;9.07;11.21;9.84;0.20;3.60;0.52;13.00;4.29;8.07;29.48;12.26;0.00;0.00;0.00;0.00;0.00;0.00;3.60;0.00;0.00;0.00;0.00;0.69;0.00;0.00;0.52;0.00;0.00;0.00;0.00;0.00;0.00;4.19;0.00;10.24;0.00;0.00;1.36;0.00;8.27;0.00;0.00;1.24;0.00;0.00;4.92;0.00;0.00;15.66;-0.00
4.00;-3.20;-1.03;-18.62;-9.31;-12.35;-12.95;0.00;0.00;0.00;0.00;0.04;0.00;3.18;0.00;0.00;0.00;0.00;0.64;0.00;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;5.72;0.00;7.80;0.00;0.00;5.51;0.00;12.49;0.00;0.00;0.00;0.00;0.00;6.94;0.00;0.00;20.11;0.00;1.22;7.77;8.66;8.32;0.25;3.20;1.03;18.62;9.31;12.35;44.51;12.95;0.00;0.00;0.00;0.00;0.04;0.00;3.16;0.00;0.00;0.00;0.00;0.63;0.00;0.00;1.03;0.00;0.00;0.00;0.00;0.00;0.00;5.15;0.00;19.50;0.00;0.00;5.41;0.00;11.24;0.00;0.00;0.00;0.00;0.00;6.24;0.00;0.00;20.11;-0.00
5.00;-2.00;-1.03;-24.30;-7.34;-14.92;-12.60;0.00;0.00;0.00;0.00;1.37;0.00;0.67;0.00;0.00;0.00;0.00;0.62;0.00;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;8.81;0.00;9.38;0.00;0.00;5.55;0.00;8.01;0.00;0.00;0.00;0.00;0.00;9.47;0.00;0.00;21.36;0.00;1.06;6.19;5.19;6.40;0.27;2.00;1.03;24.30;7.34;14.92;49.59;12.60;0.00;0.00;0.00;0.00;1.33;0.00;0.67;0.00;0.00;0.00;0.00;0.61;0.00;0.00;1.03;0.00;0.00;0.00;0.00;0.00;0.00;7.93;0.00;23.46;0.00;0.00;5.45;0.00;7.21;0.00;0.00;0.00;0.00;0.00;8.52;0.00;0.00;21.36;-0.00
6.00;-0.80;-0.77;-19.75;-3.26;-11.45;-11.59;0.00;0.00;0.16;0.00;0.66;0.00;0.00;0.00;0.00;0.00;1.26;0.47;0.00;0.00;0.00;0.09;0.00;0.21;0.00;0.00;0.00;3.37;0.00;10.00;0.18;0.00;7.79;0.00;3.00;0.00;0.00;0.00;0.00;0.00;3.58;0.00;0.00;21.13;0.00;0.90;3.74;2.96;3.77;0.28;0.80;0.77;19.75;3.26;11.45;36.02;11.59;0.00;0.00;0.16;0.00;0.64;0.00;0.00;0.00;0.00;0.00;1.24;0.46;0.00;0.00;0.00;0.09;0.00;0.21;0.00;0.00;0.00;3.04;0.00;25.00;0.17;0.00;7.65;0.00;2.70;0.00;0.00;0.00;0.00;0.00;3.23;0.00;0.00;21.13;-0.00
7.00;-3.60;-0.77;-13.70;-1.75;-7.82;-10.98;0.00;0.00;0.23;0.00;3.48;0.00;0.00;0.00;0.00;0.00;1.76;0.45;0.00;0.00;0.00;0.31;0.00;0.41;0.00;0.00;0.00;0.38;0.00;10.00;1.04;0.00;7.17;0.00;0.44;0.00;0.00;0.00;0.00;0.00;0.37;0.00;0.00;20.53;0.00;0.78;2.80;2.13;2.77;0.28;3.60;0.77;13.70;1.75;7.82;27.64;10.98;0.00;0.00;0.23;0.00;3.37;0.00;0.00;0.00;0.00;0.00;1.73;0.44;0.00;0.00;0.00;0.31;0.00;0.41;0.00;0.00;0.00;0.34;0.00;25.00;1.00;0.00;7.04;0.00;0.40;0.00;0.00;0.00;0.00;0.00;0.34;0.00;0.00;20.53;-0.00
8.00;-2.80;-1.29;-16.65;-3.25;-9.78;-10.84;0.00;0.00;1.03;0.00;1.84;0.00;0.00;0.00;0.00;0.00;5.16;0.38;0.00;0.00;0.00;0.64;0.00;2.09;0.00;0.00;0.00;1.29;0.00;10.00;1.26;0.00;6.53;0.00;1.41;0.00;0.00;0.00;0.00;0.00;1.28;0.00;0.00;20.47;0.00;0.66;2.69;2.01;2.67;0.33;2.80;1.29;16.65;3.25;9.78;33.78;10.84;0.00;0.00;1.01;0.00;1.79;0.00;0.00;0.00;0.00;0.00;5.06;0.37;0.00;0.00;0.00;0.63;0.00;2.08;0.00;0.00;0.00;1.16;0.00;25.00;1.21;0.00;6.41;0.00;1.27;0.00;0.00;0.00;0.00;0.00;1.16;0.00;0.00;20.47;-0.00
9.00;-3.20;-0.52;-23.41;-3.70;-13.53;-11.01;0.00;0.00;1.96;0.00;1.31;0.00;0.00;0.00;0.00;0.00;12.55;0.32;0.00;0.00;0.00;1.34;0.00;8.48;0.00;0.00;0.00;3.27;0.00;10.00;1.09;0.00;2.46;0.00;1.34;0.00;0.00;0.00;0.00;0.00;2.68;0.00;0.00;20.69;0.00;0.57;2.34;1.62;2.31;0.44;3.20;0.52;23.41;3.70;13.53;44.35;11.01;0.00;0.00;1.93;0.00;1.27;0.00;0.00;0.00;0.00;0.00;12.29;0.31;0.00;0.00;0.00;1.31;0.00;8.43;0.00;0.00;0.00;2.95;0.00;25.00;1.06;0.00;2.42;0.00;1.20;0.00;0.00;0.00;0.00;0.00;2.42;0.00;0.00;20.69;-0.00
