Time, TotalDemand, House, Commercial, Farms, StreetLights, TotalGeneration,  Solar, TotalPower
2014-06-01T12:00, -15826, -7862, -4783, -3180, 0, 7468, 878, -8357
2014-06-01T12:01, -15826, -7862, -4783, -3180, 0, 7468, 878, -8357
2014-06-01T12:02, -15826, -7862, -4783, -3180, 0, 7468, 878, -8357
2014-06-01T12:03, -15826, -7862, -4783, -3180, 0, 7468, 878, -8357
2014-06-01T12:04, -15826, -7862, -4783, -3180, 0, 7468, 878, -8357
2014-06-01T12:05, -15826, -7862, -4783, -3180, 0, 7468, 878, -8357
2014-06-01T12:06, -15826, -7862, -4783, -3180, 0, 7468, 878, -8357
2014-06-01T12:07, -15826, -7862, -4783, -3180, 0, 7468, 878, -8357
2014-06-01T12:08, -15826, -7862, -4783, -3180, 0, 7468, 878, -8357
2014-06-01T12:09, -15826, -7862, -4783, -3180, 0, 7468, 878, -8357
2014-06-01T12:10, -15826, -7862, -4783, -3180, 0, 7468, 878, -8357
2014-06-01T12:11, -15826, -7862, -4783, -3180, 0, 7468, 878, -8357
2014-06-01T12:12, -15826, -7862, -4783, -3180, 0, 7468, 878, -8357
2014-06-01T12:13, -15826, -7862, -4783, -3180, 0, 7468, 878, -8357
2014-06-01T12:14, -15826, -7862, -4783, -3180, 0, 7468, 878, -8357
2014-06-01T12:15, -15443, -7593, -4873, -2976, 0, 7758, 912, -7684
2014-06-01T12:16, -15443, -7593, -4873, -2976, 0, 7758, 912, -7684
2014-06-01T12:17, -15443, -7593, -4873, -2976, 0, 7758, 912, -7684
2014-06-01T12:18, -15443, -7593, -4873, -2976, 0, 7758, 912, -7684
2014-06-01T12:19, -15443, -7593, -4873, -2976, 0, 7758, 912, -7684
2014-06-01T12:20, -15443, -7593, -4873, -2976, 0, 7758, 912, -7684
2014-06-01T12:21, -15443, -7593, -4873, -2976, 0, 7758, 912, -7684
2014-06-01T12:22, -15443, -7593, -4873, -2976, 0, 7758, 912, -7684
2014-06-01T12:23, -15443, -7593, -4873, -2976, 0, 7758, 912, -7684
2014-06-01T12:24, -15443, -7593, -4873, -2976, 0, 7758, 912, -7684
2014-06-01T12:25, -15443, -7593, -4873, -2976, 0, 7758, 912, -7684
2014-06-01T12:26, -15443, -7593, -4873, -2976, 0, 7758, 912, -7684
2014-06-01T12:27, -15443, -7593, -4873, -2976, 0, 7758, 912, -7684
2014-06-01T12:28, -15443, -7593, -4873, -2976, 0, 7758, 912, -7684
2014-06-01T12:29, -15443, -7593, -4873, -2976, 0, 7758, 912, -7684
2014-06-01T12:30, -15111, -7418, -4954, -2738, 0, 8015, 943, -7095
2014-06-01T12:31, -15111, -7418, -4954, -2738, 0, 8015, 943, -7095
2014-06-01T12:32, -15111, -7418, -4954, -2738, 0, 8015, 943, -7095
2014-06-01T12:33, -15111, -7418, -4954, -2738, 0, 8015, 943, -7095
2014-06-01T12:34, -15111, -7418, -4954, -2738, 0, 8015, 943, -7095
2014-06-01T12:35, -15111, -7418, -4954, -2738, 0, 8015, 943, -7095
2014-06-01T12:36, -15111, -7418, -4954, -2738, 0, 8015, 943, -7095
2014-06-01T12:37, -15111, -7418, -4954, -2738, 0, 8015, 943, -7095
2014-06-01T12:38, -15111, -7418, -4954, -2738, 0, 8015, 943, -7095
2014-06-01T12:39, -15111, -7418, -4954, -2738, 0, 8015, 943, -7095
2014-06-01T12:40, -15111, -7418, -4954, -2738, 0, 8015, 943, -7095
2014-06-01T12:41, -15111, -7418, -4954, -2738, 0, 8015, 943, -7095
2014-06-01T12:42, -15111, -7418, -4954, -2738, 0, 8015, 943, -7095
2014-06-01T12:43, -15111, -7418, -4954, -2738, 0, 8015, 943, -7095
2014-06-01T12:44, -15111, -7418, -4954, -2738, 0, 8015, 943, -7095
2014-06-01T12:45, -14789, -7280, -4981, -2527, 0, 8236, 969, -6552
2014-06-01T12:46, -14789, -7280, -4981, -2527, 0, 8236, 969, -6552
2014-06-01T12:47, -14789, -7280, -4981, -2527, 0, 8236, 969, -6552
2014-06-01T12:48, -14789, -7280, -4981, -2527, 0, 8236, 969, -6552
2014-06-01T12:49, -14789, -7280, -4981, -2527, 0, 8236, 969, -6552
2014-06-01T12:50, -14789, -7280, -4981, -2527, 0, 8236, 969, -6552
2014-06-01T12:51, -14789, -7280, -4981, -2527, 0, 8236, 969, -6552
2014-06-01T12:52, -14789, -7280, -4981, -2527, 0, 8236, 969, -6552
2014-06-01T12:53, -14789, -7280, -4981, -2527, 0, 8236, 969, -6552
2014-06-01T12:54, -14789, -7280, -4981, -2527, 0, 8236, 969, -6552
2014-06-01T12:55, -14789, -7280, -4981, -2527, 0, 8236, 969, -6552
2014-06-01T12:56, -14789, -7280, -4981, -2527, 0, 8236, 969, -6552
2014-06-01T12:57, -14789, -7280, -4981, -2527, 0, 8236, 969, -6552
2014-06-01T12:58, -14789, -7280, -4981, -2527, 0, 8236, 969, -6552
2014-06-01T12:59, -14789, -7280, -4981, -2527, 0, 8236, 969, -6552
2014-06-01T13:00, -14462, -7142, -4936, -2384, 0, 8420, 990, -6042
2014-06-01T13:01, -14462, -7142, -4936, -2384, 0, 8420, 990, -6042
2014-06-01T13:02, -14462, -7142, -4936, -2384, 0, 8420, 990, -6042
2014-06-01T13:03, -14462, -7142, -4936, -2384, 0, 8420, 990, -6042
2014-06-01T13:04, -14462, -7142, -4936, -2384, 0, 8420, 990, -6042
2014-06-01T13:05, -14462, -7142, -4936, -2384, 0, 8420, 990, -6042
2014-06-01T13:06, -14462, -7142, -4936, -2384, 0, 8420, 990, -6042
2014-06-01T13:07, -14462, -7142, -4936, -2384, 0, 8420, 990, -6042
2014-06-01T13:08, -14462, -7142, -4936, -2384, 0, 8420, 990, -6042
2014-06-01T13:09, -14462, -7142, -4936, -2384, 0, 8420, 990, -6042
2014-06-01T13:10, -14462, -7142, -4936, -2384, 0, 8420, 990, -6042
2014-06-01T13:11, -14462, -7142, -4936, -2384, 0, 8420, 990, -6042
2014-06-01T13:12, -14462, -7142, -4936, -2384, 0, 8420, 990, -6042
2014-06-01T13:13, -14462, -7142, -4936, -2384, 0, 8420, 990, -6042
2014-06-01T13:14, -14462, -7142, -4936, -2384, 0, 8420, 990, -6042
2014-06-01T13:15, -14087, -6946, -4837, -2303, 0, 8564, 1007, -5522
2014-06-01T13:16, -14087, -6946, -4837, -2303, 0, 8564, 1007, -5522
2014-06-01T13:17, -14087, -6946, -4837, -2303, 0, 8564, 1007, -5522
2014-06-01T13:18, -14087, -6946, -4837, -2303, 0, 8564, 1007, -5522
2014-06-01T13:19, -14087, -6946, -4837, -2303, 0, 8564, 1007, -5522
2014-06-01T13:20, -14087, -6946, -4837, -2303, 0, 8564, 1007, -5522
2014-06-01T13:21, -14087, -6946, -4837, -2303, 0, 8564, 1007, -5522
2014-06-01T13:22, -14087, -6946, -4837, -2303, 0, 8564, 1007, -5522
2014-06-01T13:23, -14087, -6946, -4837, -2303, 0, 8564, 1007, -5522
2014-06-01T13:24, -14087, -6946, -4837, -2303, 0, 8564, 1007, -5522
2014-06-01T13:25, -14087, -6946, -4837, -2303, 0, 8564, 1007, -5522
