Time, DemandTotal, DemandECars, DemandHouses
11:0, -66.68600399999997, 0.0, -66.68600399999997
11:15, -67.40771399999997, 0.0, -67.40771399999997
11:30, -68.61056399999997, 0.0, -68.61056399999997
11:45, -70.4870100000001, 0.0, -70.4870100000001
12:0, -72.89270999999997, 0.0, -72.89270999999997
12:15, -75.39463799999999, 0.0, -75.39463799999999
12:30, -77.31919799999982, 0.0, -77.31919799999982
12:45, -78.08902200000004, 0.0, -78.08902200000004
13:0, -77.22297000000015, 0.0, -77.22297000000015
13:15, -75.10595400000007, 0.0, -75.10595400000007
13:30, -72.26722800000006, 0.0, -72.26722800000006
13:45, -69.28416000000009, 0.0, -69.28416000000009
14:0, -66.58977600000006, 0.0, -66.58977600000006
14:15, -64.2803039999999, 0.0, -64.2803039999999
14:30, -62.259515999999984, 0.0, -62.259515999999984
14:45, -60.47929800000016, 0.0, -60.47929800000016
15:0, -58.891536000000016, 0.0, -58.891536000000016
15:15, -57.54434399999984, 0.0, -57.54434399999984
15:30, -56.485836, 0.0, -56.485836
15:45, -55.667897999999795, 0.0, -55.667897999999795
16:0, -55.13864399999999, 0.0, -55.13864399999999
16:15, -54.94618800000013, 0.0, -54.94618800000013
16:30, -55.13864399999999, 0.0, -55.13864399999999
16:45, -55.667897999999795, 0.0, -55.667897999999795
17:0, -56.58206399999993, 0.0, -56.58206399999993
17:15, -57.881141999999876, 0.0, -57.881141999999876
17:30, -59.613246000000004, 0.0, -59.613246000000004
17:45, -61.682147999999955, 0.0, -61.682147999999955
18:0, -66.68784799999997, -2.6000000000000014, -64.08784799999998
18:15, -66.83034599999998, 0.0, -66.83034599999998
18:30, -69.81341400000004, 0.0, -69.81341400000004
18:45, -72.89270999999997, 0.0, -72.89270999999997
19:0, -75.97200600000015, 0.0, -75.97200600000015
19:15, -78.81073200000024, 0.0, -78.81073200000024
19:30, -80.97586199999986, 0.0, -80.97586199999986
19:45, -82.08248400000022, 0.0, -82.08248400000022
20:0, -81.98625599999983, 0.0, -81.98625599999983
20:15, -80.97586199999986, 0.0, -80.97586199999986
20:30, -79.53244199999976, 0.0, -79.53244199999976
20:45, -78.08902200000004, 0.0, -78.08902200000004
21:0, -77.03051399999978, 0.0, -77.03051399999978
21:15, -76.21257599999987, 0.0, -76.21257599999987
21:30, -75.44275200000023, 0.0, -75.44275200000023
21:45, -74.48047199999999, 0.0, -74.48047199999999
22:0, -73.08516599999997, 0.0, -73.08516599999997
22:15, -71.16060599999997, 0.0, -71.16060599999997
22:30, -68.56244999999996, 0.0, -68.56244999999996
22:45, -66.69069800000005, -1.4000000000000001, -65.29069800000005
23:0, -66.70100799999987, -5.499999999999995, -61.201007999999895
23:15, -66.63395000000023, -10.099999999999982, -56.53395000000016
23:30, -66.63009399999989, -15.099999999999968, -51.530093999999885
23:45, -66.63001000000013, -20.200000000000024, -46.43001000000018
0:0, -66.72238200000005, -25.200000000000095, -41.522382000000086
0:15, -66.69966600000029, -29.70000000000015, -36.99966599999994
0:30, -66.70243200000002, -33.60000000000021, -33.10243199999995
