Zeit,Zählerstand (Wh),Leistung (W)
21.07.2018 00:15,77015753,0
21.07.2018 00:30,77015753,0
21.07.2018 00:45,77015753,0
21.07.2018 01:00,77015753,0
21.07.2018 01:15,77015753,0
21.07.2018 01:30,77015753,0
21.07.2018 01:45,77015753,0
21.07.2018 02:00,77015753,0
21.07.2018 02:15,77015753,0
21.07.2018 02:30,77015753,0
21.07.2018 02:45,77015753,0
21.07.2018 03:00,77015753,0
21.07.2018 03:15,77015753,0
21.07.2018 03:30,77015753,0
21.07.2018 03:45,77015753,0
21.07.2018 04:00,77015753,0
21.07.2018 04:15,77015753,0
21.07.2018 04:30,77015753,0
21.07.2018 04:45,77015753,0
21.07.2018 05:00,77015753,0
21.07.2018 05:15,77015753,0
21.07.2018 05:30,77015753,0
21.07.2018 05:45,77015753,0
21.07.2018 06:00,77015753,0
21.07.2018 06:15,77015757,17
21.07.2018 06:30,77015777,80
21.07.2018 06:45,77015821,177
21.07.2018 07:00,77015891,280
21.07.2018 07:15,77015987,382
21.07.2018 07:30,77016117,519
21.07.2018 07:45,77016322,821
21.07.2018 08:00,77016544,888
21.07.2018 08:15,77016772,910
21.07.2018 08:30,77016961,755
21.07.2018 08:45,77017130,674
21.07.2018 09:00,77017266,544
21.07.2018 09:15,77017412,587
21.07.2018 09:30,77017600,751
21.07.2018 09:45,77017838,950
21.07.2018 10:00,77018101,1053
21.07.2018 10:15,77018359,1030
21.07.2018 10:30,77018630,1083
21.07.2018 10:45,77018852,888
21.07.2018 11:00,77019082,921
21.07.2018 11:15,77019300,871
21.07.2018 11:30,77019581,1123
21.07.2018 11:45,77019999,1671
21.07.2018 12:00,77020406,1630
21.07.2018 12:15,77020914,2031
21.07.2018 12:30,77021336,1689
21.07.2018 12:45,77021721,1537
21.07.2018 13:00,77022104,1532
21.07.2018 13:15,77022651,2189
21.07.2018 13:30,77023201,2200
21.07.2018 13:45,77023729,2110
21.07.2018 14:00,77024413,2736
21.07.2018 14:15,77025432,4077
21.07.2018 14:30,77026503,4283
21.07.2018 14:45,77027751,4989
21.07.2018 15:00,77029244,5974
21.07.2018 15:15,77030866,6488
21.07.2018 15:30,77032564,6792
21.07.2018 15:45,77034076,6045
21.07.2018 16:00,77036554,9913
21.07.2018 16:15,77038557,8008
21.07.2018 16:30,77039764,4831
21.07.2018 16:45,77040495,2920
21.07.2018 17:00,77041056,2245
21.07.2018 17:15,77041452,1584
21.07.2018 17:30,77041707,1017
21.07.2018 17:45,77041785,315
21.07.2018 18:00,77041964,716
21.07.2018 18:15,77042145,722
21.07.2018 18:30,77042351,824
21.07.2018 18:45,77042612,1042
21.07.2018 19:00,77042867,1023
21.07.2018 19:15,77043023,623
21.07.2018 19:30,77043154,521
21.07.2018 19:45,77043295,563
21.07.2018 20:00,77043409,458
21.07.2018 20:15,77043496,345
21.07.2018 20:30,77043564,272
21.07.2018 20:45,77043607,173
21.07.2018 21:00,77043626,75
21.07.2018 21:15,77043627,2
21.07.2018 21:30,77043627,0
21.07.2018 21:45,77043627,0
21.07.2018 22:00,77043627,0
21.07.2018 22:15,77043627,0
21.07.2018 22:30,77043627,0
21.07.2018 22:45,77043627,0
21.07.2018 23:00,77043627,0
21.07.2018 23:15,77043627,0
21.07.2018 23:30,77043627,0
21.07.2018 23:45,77043627,0
22.07.2018 00:00,77043627,0
