timeStep;demandHeat;demandElectricity;PV3;GasBoiler3;ThermalStorage3Discharge;ThermalStorage3Charge;HeatPump3;ElecBuy;ElecSell;ThermalStorage3SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV3;plusGasBoiler3;plusThermalStorage3Discharge;plusThermalStorage3Charge;plusHeatPump3;plusElecBuy;plusElecSell
0.00;-16.41;-4.40;0.00;15.60;1.13;0.00;0.00;4.40;0.00;20.00;0.51;0.25;16.41;16.41;4.40;0.00;15.28;1.02;0.00;0.00;4.40;-0.00
1.00;-18.91;-4.50;0.00;17.57;1.69;0.00;0.00;4.50;0.00;19.69;0.54;0.25;18.91;18.91;4.50;0.00;17.22;1.52;0.00;0.00;4.50;-0.00
2.00;-13.98;-4.97;0.00;13.27;0.98;0.00;0.00;4.97;0.00;19.22;0.51;0.25;13.98;13.98;4.97;0.00;13.00;0.88;0.00;0.00;4.97;-0.00
3.00;-13.00;-5.38;0.00;12.36;0.88;0.00;0.00;5.38;0.00;18.94;0.52;0.25;13.00;13.00;5.38;0.00;12.11;0.80;0.00;0.00;5.38;-0.00
4.00;-18.62;-5.38;0.00;17.64;1.33;0.00;0.00;5.38;0.00;18.70;0.60;0.25;18.62;18.62;5.38;0.00;17.29;1.20;0.00;0.00;5.38;-0.00
5.00;-24.30;-5.34;0.00;19.13;5.56;0.00;0.00;5.34;0.00;18.33;0.62;0.25;24.30;24.30;5.34;0.00;18.75;5.00;0.00;0.00;5.34;-0.00
6.00;-19.75;-5.03;0.00;18.58;1.53;0.00;0.00;5.03;0.00;16.78;0.59;0.25;19.75;19.75;5.03;0.00;18.21;1.38;0.00;0.00;5.03;-0.00
7.00;-13.70;-4.88;0.00;13.29;0.68;0.00;0.00;4.88;0.00;16.36;0.50;0.25;13.70;13.70;4.88;0.00;13.02;0.61;0.00;0.00;4.88;-0.00
8.00;-16.65;-4.78;0.00;16.23;0.75;0.00;0.00;4.78;0.00;16.17;0.54;0.25;16.65;16.65;4.78;0.00;15.90;0.68;0.00;0.00;4.78;-0.00
9.00;-23.41;-4.88;0.00;19.34;4.46;0.00;0.00;4.88;0.00;15.96;0.59;0.25;23.41;23.41;4.88;0.00;18.95;4.01;0.00;0.00;4.88;-0.00
10.00;-20.06;-4.84;0.00;19.04;1.41;0.00;0.00;4.84;0.00;14.72;0.58;0.25;20.06;20.06;4.84;0.00;18.65;1.27;0.00;0.00;4.84;-0.00
11.00;-13.28;-4.51;0.00;13.08;0.47;0.00;0.00;4.51;0.00;14.33;0.47;0.25;13.28;13.28;4.51;0.00;12.82;0.42;0.00;0.00;4.51;-0.00
12.00;-14.98;-4.47;0.00;14.85;0.42;0.00;0.00;4.47;0.00;14.20;0.50;0.25;14.98;14.98;4.47;0.00;14.55;0.38;0.00;0.00;4.47;-0.00
13.00;-25.47;-4.95;0.00;19.59;6.27;0.00;0.00;4.95;0.00;14.08;0.60;0.25;25.47;25.47;4.95;0.00;19.20;5.64;0.00;0.00;4.95;-0.00
14.00;-23.38;-5.09;0.00;19.60;4.17;0.00;0.00;5.09;0.00;12.34;0.61;0.25;23.38;23.38;5.09;0.00;19.21;3.75;0.00;0.00;5.09;-0.00
15.00;-17.07;-4.65;0.00;17.05;0.37;0.00;0.00;4.65;0.00;11.19;0.54;0.25;17.07;17.07;4.65;0.00;16.71;0.33;0.00;0.00;4.65;-0.00
16.00;-16.11;-4.44;0.00;16.13;0.31;0.00;0.00;4.44;0.00;11.08;0.52;0.25;16.11;16.11;4.44;0.00;15.80;0.28;0.00;0.00;4.44;-0.00
17.00;-16.32;-4.44;0.00;16.35;0.30;0.00;0.00;4.44;0.00;11.00;0.52;0.25;16.32;16.32;4.44;0.00;16.02;0.27;0.00;0.00;4.44;-0.00
18.00;-14.72;-4.43;0.00;14.76;0.26;0.00;0.00;4.43;0.00;10.92;0.49;0.25;14.72;14.72;4.43;0.00;14.47;0.23;0.00;0.00;4.43;-0.00
19.00;-17.87;-4.43;0.00;18.08;0.16;0.00;0.00;4.43;0.00;10.84;0.54;0.25;17.87;17.87;4.43;0.00;17.71;0.14;0.00;0.00;4.43;-0.00
20.00;-22.91;-4.43;0.00;19.94;3.38;0.00;0.00;4.43;0.00;10.80;0.57;0.25;22.91;22.91;4.43;0.00;19.54;3.04;0.00;0.00;4.43;-0.00
21.00;-20.03;-4.56;0.00;19.93;0.49;0.00;0.00;4.56;0.00;9.86;0.58;0.25;20.03;20.03;4.56;0.00;19.53;0.44;0.00;0.00;4.56;-0.00
22.00;-22.15;-4.63;0.00;19.95;2.60;0.00;0.00;4.63;0.00;9.73;0.58;0.25;22.15;22.15;4.63;0.00;19.55;2.34;0.00;0.00;4.63;-0.00
23.00;-17.58;-4.49;0.00;17.89;0.05;0.00;0.00;4.49;0.00;9.00;0.55;0.25;17.58;17.58;4.49;0.00;17.54;0.04;0.00;0.00;4.49;-0.00
24.00;-11.23;-4.61;0.05;11.42;0.04;0.00;0.00;4.56;0.00;8.99;0.45;0.25;11.23;11.23;4.61;0.05;11.20;0.03;0.00;0.00;4.56;-0.00
25.00;-11.70;-5.35;0.21;11.91;0.03;0.00;0.00;5.14;0.00;8.98;0.50;0.25;11.70;11.70;5.35;0.21;11.67;0.03;0.00;0.00;5.14;-0.00
