timeStep;demandHeat;demandElectricity;ThermalStorage4Discharge;ThermalStorage4Charge;CHP4;ElecBuy;ElecSell;ThermalStorage4SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusThermalStorage4Discharge;plusThermalStorage4Charge;plusCHP4;plusElecBuy;plusElecSell
0.00;-9.48;-2.93;3.32;0.00;10.11;0.00;0.00;20.00;0.17;0.25;9.48;9.48;2.93;2.99;0.00;6.17;0.00;-0.00
1.00;-8.02;-2.88;1.96;0.00;9.94;0.00;0.00;19.08;0.17;0.25;8.02;8.02;2.88;1.76;0.00;6.06;0.00;-0.00
2.00;-5.46;-2.88;0.00;0.61;9.94;0.00;0.00;18.54;0.17;0.25;5.46;5.46;2.88;0.00;0.55;6.06;0.00;-0.00
3.00;-4.29;-3.51;0.00;3.10;12.11;0.00;0.00;18.67;0.21;0.25;4.29;4.29;3.51;0.00;2.79;7.39;0.00;-0.00
4.00;-9.31;-4.10;0.68;0.00;14.15;0.00;0.00;19.37;0.24;0.25;9.31;9.31;4.10;0.61;0.00;8.63;0.00;-0.00
5.00;-7.34;-3.91;0.00;0.88;13.47;0.00;0.00;19.18;0.23;0.25;7.34;7.34;3.91;0.00;0.79;8.22;0.00;-0.00
6.00;-3.26;-3.46;0.00;4.01;11.91;0.00;0.00;19.38;0.20;0.25;3.26;3.26;3.46;0.00;3.61;7.27;0.00;-0.00
7.00;-1.75;-3.10;0.00;4.76;10.68;0.00;0.00;20.28;0.18;0.25;1.75;1.75;3.10;0.00;4.29;6.51;0.00;-0.00
8.00;-3.25;-3.12;0.00;3.30;10.75;0.00;0.00;21.35;0.18;0.25;3.25;3.25;3.12;0.00;2.97;6.56;0.00;-0.00
9.00;-3.70;-3.06;0.00;2.73;10.54;0.00;0.00;22.10;0.18;0.25;3.70;3.70;3.06;0.00;2.46;6.43;0.00;-0.00
10.00;-3.24;-2.55;0.00;2.11;8.78;0.00;0.00;22.71;0.15;0.25;3.24;3.24;2.55;0.00;1.90;5.36;0.00;-0.00
11.00;-4.83;-2.25;0.09;0.00;7.77;0.00;0.00;23.19;0.13;0.25;4.83;4.83;2.25;0.08;0.00;4.74;0.00;-0.00
12.00;-6.86;-2.30;2.02;0.00;7.93;0.00;0.00;23.16;0.14;0.25;6.86;6.86;2.30;1.82;0.00;4.84;0.00;-0.00
13.00;-6.99;-2.34;2.06;0.00;8.08;0.00;0.00;22.60;0.14;0.25;6.99;6.99;2.34;1.86;0.00;4.93;0.00;-0.00
